Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,1,0,0,0,344,56,380,164
5.5,1,0,0,0,458,186,436,384
6.0,1,0,0,0,774,306,720,464
6.5,1,0,1,0,1476,532,1000,480
7.0,2,0,1,0,2132,798,1288,640
7.5,3,0,1,0,3250,1308,1580,912
8.0,3,0,1,0,3746,1506,2104,992
8.5,2,0,1,0,2888,1290,2320,1184
9.0,2,0,1,0,2158,678,2456,1152
9.5,1,0,1,0,1352,650,2352,1152
10.0,1,0,1,0,1098,526,2576,996
10.5,1,0,1,0,886,570,2472,1272
11.0,1,0,1,0,848,532,2456,1272
11.5,1,0,1,0,792,532,2224,1264
12.0,1,0,1,0,968,590,2256,1372
12.5,1,0,0,0,806,688,2120,1560
13.0,1,0,1,0,766,674,2128,1600
13.5,1,0,1,1,624,666,1944,1800
14.0,0,1,1,0,678,620,1980,1600
14.5,0,1,0,0,578,660,1824,1696
15.0,0,1,0,0,676,686,1880,1616
15.5,0,1,1,0,732,764,1776,1832
16.0,0,1,1,1,870,810,2148,1880
16.5,0,1,0,1,884,1052,1924,2280
17.0,0,1,0,1,1400,1190,2248,1928
17.5,0,1,0,1,1538,1756,1864,2400
18.0,0,1,0,1,1388,2092,1960,2120
18.5,0,2,0,1,1064,2154,1536,2176
19.0,0,2,0,1,926,2116,1360,1920
19.5,0,1,0,1,636,1990,1016,1880
20.0,0,1,0,1,592,1586,1000,1928
20.5,0,1,0,1,448,1578,800,2096
21.0,0,1,0,1,482,1316,904,2360
21.5,0,1,0,1,364,1268,904,2112
22.0,0,1,0,0,390,1272,864,2024
22.5,0,1,0,0,282,1124,672,1772
23.0,0,0,0,0,288,928,592,1684
23.5,0,0,0,0,158,850,368,1360
24.0,-,0,-,0,34,694,80,796
24.5,-,-,-,-,6,114,8,280
