Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,464,88,236,112
5.5,1,0,0,0,788,380,340,280
6.0,1,0,0,0,1452,564,524,336
6.5,1,0,1,0,2220,752,760,368
7.0,2,0,1,0,3384,1256,976,624
7.5,3,0,1,0,4840,2280,1260,732
8.0,3,0,1,0,5432,2504,1408,664
8.5,1,0,1,0,4148,1448,1528,776
9.0,1,0,1,0,3140,764,1616,616
9.5,1,0,1,0,2128,728,1820,672
10.0,1,0,1,0,1728,704,1736,568
10.5,1,0,1,0,1348,712,1800,752
11.0,1,0,1,0,1236,612,1664,744
11.5,1,0,1,0,1276,724,1568,768
12.0,1,0,1,0,1528,812,1700,976
12.5,1,0,0,0,1348,1064,1424,1048
13.0,1,0,1,0,1092,964,1372,984
13.5,1,0,0,0,1048,936,1272,1088
14.0,0,1,0,0,956,876,1316,1140
14.5,0,1,0,0,928,980,1104,1216
15.0,0,1,0,0,968,1040,1120,1304
15.5,0,1,0,0,944,1308,1180,1420
16.0,0,1,0,0,1276,1448,1288,1320
16.5,0,1,0,1,1316,1828,1336,1648
17.0,0,1,0,1,1820,2088,1460,1400
17.5,0,1,0,1,2028,3208,1352,1840
18.0,0,1,0,1,1880,3480,1288,1740
18.5,0,2,0,1,1348,3340,1064,1712
19.0,0,2,0,1,1172,3060,936,1328
19.5,0,1,0,1,940,2692,616,1244
20.0,0,1,0,1,696,2372,568,1316
20.5,0,1,0,1,512,1892,580,1336
21.0,0,1,0,1,464,1916,592,1432
21.5,0,1,0,1,344,1852,664,1392
22.0,0,1,0,0,352,1532,748,1528
22.5,0,1,0,0,288,1592,608,1152
23.0,0,0,0,0,208,1256,416,856
23.5,0,0,0,0,132,1232,288,832
24.0,-,0,-,0,28,892,48,600
24.5,-,-,-,-,4,260,8,312
