Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,-,0,-,0,151,16,328,64
5.5,-,0,-,0,320,97,472,400
6.0,-,0,-,0,617,103,696,320
6.5,-,0,-,0,1355,204,1000,376
7.0,-,1,-,0,2477,380,1852,692
7.5,-,1,-,0,3675,571,2428,864
8.0,-,1,-,0,5104,841,2896,1280
8.5,-,1,-,0,3397,574,2920,1512
9.0,-,1,-,0,2201,520,3376,1612
9.5,-,0,-,0,1329,455,3032,1792
10.0,-,0,-,0,981,405,2840,1584
10.5,-,0,-,0,769,407,2944,1936
11.0,-,0,-,0,661,448,2660,1888
11.5,-,0,-,0,682,490,2612,2136
12.0,-,0,-,0,785,537,2992,2124
12.5,-,0,-,0,769,675,2872,2388
13.0,-,0,-,0,631,557,2720,2768
13.5,-,0,-,0,544,524,2752,2668
14.0,-,0,-,0,521,498,2328,2120
14.5,-,0,-,0,493,555,2288,2400
15.0,-,0,-,0,446,672,2176,2400
15.5,-,0,-,0,485,646,2448,2620
16.0,-,0,-,0,506,938,2664,2848
16.5,-,0,-,0,535,1211,2392,3112
17.0,-,0,-,0,625,1471,2408,3280
17.5,-,0,-,0,648,1989,1976,3460
18.0,-,0,-,0,689,2358,2012,3096
18.5,-,0,-,0,576,2430,1656,2768
19.0,-,0,-,0,450,2360,1436,2580
19.5,-,0,-,0,425,1895,1336,2400
20.0,-,0,-,0,400,1552,1320,2328
20.5,-,0,-,0,342,1352,1172,2064
21.0,-,0,-,0,294,1194,1160,1848
21.5,-,0,-,0,251,999,1032,1848
22.0,-,0,-,0,228,883,872,1944
22.5,-,0,-,0,194,857,812,1576
23.0,-,0,-,0,165,508,724,1464
23.5,-,0,-,0,92,632,424,1064
24.0,-,0,-,0,35,421,152,640
24.5,-,-,-,-,0,176,0,240
