Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,272,40,176,64
5.5,0,0,0,0,448,120,236,152
6.0,0,0,0,0,924,192,308,132
6.5,0,1,0,0,1436,364,520,188
7.0,0,1,0,0,2672,868,708,376
7.5,0,1,0,0,4304,1664,944,508
8.0,0,1,0,0,5200,3476,1380,624
8.5,0,1,0,0,4080,1488,1352,480
9.0,0,1,0,0,3032,1036,1704,556
9.5,0,0,0,0,2068,1228,1488,688
10.0,0,0,0,0,1732,740,1644,504
10.5,0,0,0,0,1352,800,1424,576
11.0,0,0,0,0,1340,772,1484,632
11.5,0,0,0,0,1272,708,1208,768
12.0,0,0,0,0,1488,940,1424,728
12.5,0,0,0,0,1296,1212,1268,872
13.0,0,0,0,0,1148,972,1400,864
13.5,0,0,0,0,900,1040,1072,912
14.0,0,0,0,0,1100,996,1080,760
14.5,0,0,0,0,956,1012,916,792
15.0,0,0,0,0,1000,968,1096,880
15.5,0,0,0,0,912,1088,948,1096
16.0,0,0,0,0,1304,1184,1064,1120
16.5,0,0,0,0,1300,1280,1040,1224
17.0,0,0,0,0,2520,1684,1128,1276
17.5,0,0,0,0,1968,2072,912,1352
18.0,0,0,0,0,1560,2828,708,1244
18.5,0,0,0,0,1188,2708,612,1336
19.0,0,0,0,0,960,2788,512,1064
19.5,0,0,0,0,700,2296,372,1012
20.0,0,0,0,0,620,2140,368,1040
20.5,0,0,0,0,448,1936,232,1152
21.0,0,0,0,0,436,1588,340,1140
21.5,0,0,0,0,360,1432,240,992
22.0,0,0,0,0,312,1536,272,892
22.5,0,0,0,0,244,1244,248,800
23.0,0,0,0,0,244,1200,192,1072
23.5,0,0,0,0,148,912,112,640
24.0,0,0,0,0,48,820,52,684
24.5,-,-,-,-,8,184,8,12
