Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,484,84,292,116
5.5,0,0,0,0,656,216,380,248
6.0,0,0,0,0,1268,196,472,240
6.5,0,1,0,0,2068,352,696,268
7.0,0,1,0,0,3344,700,1040,296
7.5,0,1,0,0,5456,1200,1368,496
8.0,0,1,0,0,6988,1852,1672,672
8.5,0,1,0,0,5076,2236,1808,764
9.0,0,1,0,0,4164,992,2048,632
9.5,0,1,0,0,2480,948,1896,728
10.0,0,1,0,0,2032,764,2040,612
10.5,0,0,0,0,1592,672,2188,688
11.0,0,0,0,0,1420,556,2024,664
11.5,0,0,0,0,1324,812,1720,936
12.0,0,0,0,0,1632,808,1872,1280
12.5,0,0,0,0,1444,1188,1712,1264
13.0,0,0,0,0,1148,884,1856,1068
13.5,0,0,0,0,948,960,1528,1192
14.0,0,0,0,0,972,828,1344,1040
14.5,0,0,0,0,1004,888,1440,1124
15.0,0,0,0,0,1076,1004,1432,1116
15.5,0,0,0,0,896,1176,1440,1336
16.0,0,0,0,0,1252,1328,1724,1452
16.5,0,0,0,0,1228,1704,1488,1700
17.0,0,0,0,0,1524,1860,1448,1744
17.5,1,0,0,0,1664,2836,1384,1784
18.0,1,0,0,0,1832,3276,1096,1568
18.5,1,0,0,0,1416,3736,900,1776
19.0,0,0,0,0,1212,3656,792,1524
19.5,0,0,0,0,824,3640,664,1788
20.0,0,0,0,0,748,2932,600,1476
20.5,0,0,0,0,580,2568,376,1680
21.0,0,0,0,0,504,2564,424,1624
21.5,0,0,0,0,400,2232,304,1500
22.0,0,0,0,0,412,2012,412,1448
22.5,0,0,0,0,360,1948,336,1400
23.0,0,0,0,0,324,1604,348,1488
23.5,0,0,0,0,216,1264,240,984
24.0,0,0,0,0,68,1608,24,1308
24.5,-,-,-,-,4,48,4,4
