Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,384,68,264,96
5.5,0,0,0,0,500,216,304,260
6.0,0,1,0,0,868,252,416,232
6.5,0,1,0,0,1588,404,508,200
7.0,0,1,0,0,2616,696,744,404
7.5,0,2,0,0,4148,1360,1152,700
8.0,0,2,0,0,5544,1568,1568,672
8.5,0,2,0,0,4208,1880,1536,692
9.0,0,1,0,1,3488,1472,1880,712
9.5,0,1,0,0,2188,1148,1792,696
10.0,0,1,0,1,1788,672,1824,608
10.5,0,1,0,0,1388,672,1848,608
11.0,0,0,0,1,1424,592,1880,616
11.5,0,0,0,0,1212,648,1620,728
12.0,0,1,0,1,1656,796,1744,736
12.5,0,0,0,0,1456,996,1512,924
13.0,0,0,0,0,1116,884,1616,1008
13.5,0,0,0,0,1028,844,1548,1104
14.0,0,0,0,0,944,728,1464,912
14.5,0,0,0,0,924,788,1232,920
15.0,0,0,0,0,1060,964,1500,992
15.5,0,0,0,0,964,1016,1232,1220
16.0,0,0,0,0,1252,1092,1376,1304
16.5,0,0,0,0,1364,1460,1200,1412
17.0,0,0,0,0,1612,1620,1260,1452
17.5,1,0,0,0,1732,2316,1168,1600
18.0,1,0,0,0,1748,2384,1032,1616
18.5,1,0,0,0,1420,3296,756,1472
19.0,1,0,0,0,1052,2668,808,1536
19.5,1,0,0,0,776,2980,480,1512
20.0,1,0,0,0,648,2392,544,1396
20.5,1,0,0,0,532,2040,376,1424
21.0,1,0,0,0,488,2008,400,1396
21.5,1,0,0,0,368,1936,396,1528
22.0,0,0,0,0,456,1788,400,1112
22.5,0,0,0,0,356,1480,328,1288
23.0,0,0,0,0,292,1300,380,1056
23.5,0,0,0,0,232,988,232,800
24.0,1,0,0,0,52,1320,40,1072
24.5,-,-,-,-,0,0,0,0
