Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,340,68,240,112
5.5,0,0,0,0,524,292,280,312
6.0,0,1,0,0,992,304,396,244
6.5,0,1,0,0,1616,496,568,276
7.0,0,1,0,0,2824,856,836,352
7.5,0,2,0,0,4328,1636,1100,536
8.0,0,2,0,1,5368,2256,1376,588
8.5,0,2,0,1,4180,2828,1528,648
9.0,0,2,0,1,3508,2044,1808,632
9.5,0,1,0,1,2256,1448,1972,672
10.0,0,1,0,1,1864,976,1788,672
10.5,0,1,0,1,1508,1012,1944,728
11.0,0,1,0,1,1452,820,1984,680
11.5,0,0,0,1,1364,756,1800,844
12.0,0,1,0,1,1684,916,1728,964
12.5,0,0,0,1,1400,1112,1680,1100
13.0,0,1,0,1,1316,1012,1592,1192
13.5,0,0,0,0,1112,1032,1456,1136
14.0,0,0,0,0,1068,932,1584,1112
14.5,0,0,0,0,952,1040,1520,1080
15.0,0,0,0,0,1140,1024,1336,1208
15.5,0,0,0,0,1104,1168,1360,1300
16.0,0,0,0,0,1208,1156,1584,1408
16.5,0,0,0,0,1364,1576,1264,1536
17.0,0,0,0,0,1904,1884,1504,1748
17.5,1,0,1,0,2120,2556,1228,1640
18.0,1,0,1,0,2192,2900,1128,1760
18.5,1,0,0,0,2108,3332,992,1688
19.0,1,0,0,0,1924,3068,836,1504
19.5,1,0,0,0,1408,2972,664,1464
20.0,1,0,0,0,1244,2532,616,1528
20.5,1,0,0,0,916,2532,488,1520
21.0,1,0,0,0,740,2140,472,1560
21.5,1,0,0,0,608,1964,464,1552
22.0,1,0,0,0,632,1836,492,1408
22.5,1,0,0,0,456,1664,428,1240
23.0,1,0,0,0,476,1532,440,1208
23.5,1,0,0,0,336,1376,284,936
24.0,1,0,0,0,112,1140,88,1172
24.5,-,-,-,-,0,4,0,4
