Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,240,132,392,256
5.5,0,0,0,0,354,240,492,472
6.0,0,0,0,0,724,414,640,432
6.5,0,1,0,0,1156,714,860,736
7.0,0,1,0,0,1996,1434,1280,1060
7.5,0,2,0,1,3094,2678,1768,1188
8.0,0,2,0,1,3954,4690,2352,1776
8.5,0,2,0,1,3636,5912,2388,1928
9.0,0,1,0,1,2778,3704,3040,1784
9.5,0,1,0,1,2090,2440,2976,2196
10.0,0,1,0,1,1572,1498,2952,1664
10.5,0,1,0,1,1410,1504,2816,1500
11.0,0,1,0,1,1268,904,2800,1368
11.5,0,1,0,1,1284,1008,3024,1704
12.0,0,1,0,1,1588,1030,3292,1888
12.5,0,1,0,1,1638,1574,2944,2148
13.0,0,1,0,1,1444,1342,2696,2016
13.5,0,1,0,1,1140,1134,2416,2296
14.0,0,0,0,1,1224,942,2664,2112
14.5,0,0,0,1,1278,1206,2328,1940
15.0,0,0,0,1,1438,994,2404,2052
15.5,0,0,0,1,1388,1140,2312,2376
16.0,0,0,1,1,1624,1320,2844,2352
16.5,0,0,1,1,1852,1476,2888,2528
17.0,1,0,1,1,2596,1740,2632,2536
17.5,1,0,1,1,3452,2122,2616,2736
18.0,1,1,1,0,4418,2368,2588,2332
18.5,1,0,1,0,3218,2474,2128,2640
19.0,1,0,1,0,2630,2384,1808,2336
19.5,1,0,1,0,2090,2064,1456,2320
20.0,1,0,1,0,1820,1730,1400,2144
20.5,1,0,1,0,1342,1846,1064,2344
21.0,1,0,1,0,1092,1534,1144,2096
21.5,1,0,1,0,924,1428,1060,2064
22.0,1,0,1,0,900,1220,1064,2024
22.5,1,0,1,0,694,1330,960,1736
23.0,1,0,0,0,556,1050,736,1728
23.5,1,0,1,0,416,900,576,1556
24.0,1,0,1,0,160,1032,232,1272
24.5,-,-,-,-,2,6,0,0
