Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,39,25,124,52
5.5,0,0,0,0,44,109,128,232
6.0,0,0,0,0,79,223,204,240
6.5,0,1,0,0,147,581,240,568
7.0,0,1,0,0,224,1353,336,1056
7.5,1,1,0,1,356,2619,496,1732
8.0,1,2,0,1,502,4697,744,1952
8.5,0,1,0,1,465,7065,976,2952
9.0,0,1,0,1,602,4369,1232,3408
9.5,0,1,0,1,566,3555,1288,3896
10.0,0,1,0,1,650,1148,1312,1560
10.5,0,1,0,1,653,1089,1588,1840
11.0,0,1,0,1,738,730,1596,1928
11.5,0,1,0,1,784,693,1544,1904
12.0,0,1,0,1,987,810,1712,2084
12.5,1,1,0,1,770,1091,1648,2072
13.0,0,1,0,1,765,894,1688,1872
13.5,0,1,0,1,681,832,1640,1800
14.0,0,1,0,1,807,718,1696,1924
14.5,0,1,0,1,756,745,1712,1744
15.0,1,1,1,1,921,685,1776,1808
15.5,1,0,1,1,874,766,1800,1660
16.0,0,1,1,1,1271,555,2088,1600
16.5,1,0,1,1,1317,660,2120,1616
17.0,1,1,1,1,2074,553,2792,1632
17.5,1,1,1,1,2632,597,2312,1496
18.0,1,1,1,1,3418,631,2564,1416
18.5,1,1,1,1,2759,609,2052,1296
19.0,1,1,1,0,2757,527,2568,1400
19.5,1,0,1,0,2039,398,1616,816
20.0,1,1,1,0,1739,317,1456,920
20.5,1,0,1,0,1298,296,1068,732
21.0,1,0,1,0,1096,266,1416,888
21.5,1,0,1,0,775,245,912,704
22.0,1,0,1,0,670,232,1044,848
22.5,1,0,1,0,439,199,648,632
23.0,1,0,1,0,365,170,544,492
23.5,1,0,1,0,202,126,364,356
24.0,1,0,1,0,40,110,120,320
24.5,-,-,-,-,0,0,4,0
