Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,344,157,712,328
5.5,0,0,0,0,569,308,632,444
6.0,0,0,0,0,1044,524,852,774
6.5,0,1,0,0,1900,959,1104,1024
7.0,1,1,0,0,3070,1448,1482,1184
7.5,1,2,0,1,4463,2120,1848,1500
8.0,1,2,0,1,6427,2781,2132,2200
8.5,1,2,0,1,6709,2528,2368,2426
9.0,1,2,0,1,4988,2227,2952,2892
9.5,1,1,0,1,3326,1871,2824,3324
10.0,0,1,0,1,2242,1504,2648,3330
10.5,0,1,0,1,1808,1657,2810,3592
11.0,0,1,0,1,1523,1602,2870,3916
11.5,0,1,0,1,1527,1699,2986,3992
12.0,1,1,0,1,1873,1954,3316,3868
12.5,1,1,1,1,1951,2020,3452,3990
13.0,1,1,1,1,1719,1757,3442,4008
13.5,1,1,1,1,1534,1675,3232,3900
14.0,1,1,0,1,1582,1627,3234,3802
14.5,1,1,1,1,1489,1823,3426,4000
15.0,1,1,1,1,1660,1970,3408,3914
15.5,1,0,1,1,1606,2097,3730,4108
16.0,1,0,1,1,1772,2475,3794,4258
16.5,1,0,1,1,1894,3061,3948,4726
17.0,1,1,1,1,2117,3593,4006,4624
17.5,1,1,1,1,2390,5121,3924,4524
18.0,1,1,1,1,2600,5711,3470,4036
18.5,1,1,1,1,2630,5711,3460,3926
19.0,1,1,1,0,2469,4660,3240,3456
19.5,1,0,1,0,2243,4001,3332,2934
20.0,1,0,1,0,2084,2996,3352,2584
20.5,1,0,1,0,1897,2651,3424,2454
21.0,1,0,1,0,1893,2174,3456,2390
21.5,1,0,1,0,1698,1916,3124,2084
22.0,1,0,1,0,1612,1575,3108,2008
22.5,1,0,1,0,1386,1470,2634,1644
23.0,1,0,1,0,1338,1082,2572,1472
23.5,1,0,1,0,1224,1167,2198,1140
24.0,1,0,1,0,440,478,724,564
24.5,-,-,-,-,1,108,2,160
