Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,72,26,152,32
5.5,0,0,0,0,114,268,224,184
6.0,0,0,0,0,190,382,248,284
6.5,0,1,0,0,254,614,328,396
7.0,0,1,0,0,538,1108,412,632
7.5,0,1,0,0,882,2100,720,832
8.0,0,2,0,1,1172,3734,736,1284
8.5,0,2,0,1,1036,5862,904,1592
9.0,0,2,0,1,1094,3312,1144,1648
9.5,0,1,0,1,956,3696,1232,2356
10.0,0,1,0,1,976,1664,1564,1416
10.5,0,1,0,1,826,1566,1280,1804
11.0,0,1,0,1,842,1072,1528,1640
11.5,1,1,1,1,888,1142,1344,1848
12.0,1,1,1,1,1262,1048,1688,1768
12.5,1,1,1,1,994,1434,1412,2352
13.0,1,1,1,1,1064,1122,1564,1784
13.5,1,1,1,1,972,1106,1264,1792
14.0,1,1,1,1,998,842,1432,1464
14.5,1,1,1,1,1018,1028,1376,1628
15.0,1,1,1,1,1236,864,1672,1408
15.5,1,0,1,1,1102,1098,1816,1644
16.0,1,0,1,1,1550,868,1920,1420
16.5,1,0,1,1,1692,1106,1864,1708
17.0,1,0,1,1,2354,1038,2088,1592
17.5,2,1,1,1,2964,1232,1812,1644
18.0,2,1,1,1,3286,1348,1980,1444
18.5,1,1,1,0,2514,1394,1544,1272
19.0,1,0,1,0,2504,1062,1584,1240
19.5,1,0,1,0,1782,908,1124,1096
20.0,1,0,1,0,1512,706,1112,1008
20.5,1,0,1,0,1236,694,912,1012
21.0,1,0,1,0,1276,578,1040,1020
21.5,1,0,1,0,838,564,856,888
22.0,1,0,1,0,856,476,1000,816
22.5,1,0,0,0,614,414,824,800
23.0,1,0,0,0,592,370,760,556
23.5,0,0,0,0,474,292,480,572
24.0,-,-,-,-,96,200,140,288
24.5,-,-,-,-,2,34,8,76
