Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,192,56,176,60
5.5,0,0,0,0,268,392,224,240
6.0,0,0,0,0,528,584,288,308
6.5,0,1,0,0,840,1088,376,388
7.0,0,1,0,0,1392,1924,456,600
7.5,1,1,0,0,2352,3196,656,792
8.0,0,2,0,1,3440,5256,1028,1072
8.5,0,2,0,1,3056,6740,880,1176
9.0,0,2,0,1,2856,4384,1396,1276
9.5,0,1,0,1,2088,4668,1464,1880
10.0,0,1,0,1,1844,2264,1480,1448
10.5,0,1,0,1,1772,2468,1768,1512
11.0,0,1,0,1,1700,1704,1688,1648
11.5,1,1,1,1,1772,1872,1856,1584
12.0,1,1,1,1,2472,1792,1960,1688
12.5,1,1,1,1,2032,2424,1728,1896
13.0,1,1,1,1,1860,1848,1792,1680
13.5,1,1,1,1,1744,1920,1784,1872
14.0,1,1,1,1,1732,1572,1752,1672
14.5,1,1,1,1,2296,1768,1784,1844
15.0,1,1,1,1,2020,1620,1804,1684
15.5,1,0,1,1,2020,1872,1936,1764
16.0,1,0,1,1,3020,1652,2316,1616
16.5,1,0,1,1,2764,1956,2152,1880
17.0,1,0,1,1,4264,2028,2184,1568
17.5,2,1,1,1,4540,2836,1928,2080
18.0,2,1,1,1,5032,3076,1788,1616
18.5,1,1,1,0,3540,3296,1384,1536
19.0,1,0,1,0,3488,2628,1168,1312
19.5,1,0,1,0,2560,2204,960,1240
20.0,1,0,1,0,2204,1908,952,1220
20.5,1,0,1,0,1820,1664,840,1176
21.0,1,0,1,0,1940,1548,932,1184
21.5,1,0,1,0,1740,1568,992,1052
22.0,1,0,0,0,1772,1268,1160,1132
22.5,1,0,0,0,1452,1236,920,1076
23.0,1,0,0,0,1384,964,796,672
23.5,0,0,0,0,1052,944,656,648
24.0,-,-,-,-,200,504,124,304
24.5,-,-,-,-,0,80,0,8
