Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,153,62,340,188
5.5,0,0,0,0,232,179,388,516
6.0,0,0,0,0,423,288,584,480
6.5,0,1,0,0,964,578,1056,828
7.0,0,1,0,0,1577,992,1560,1208
7.5,0,1,0,0,2544,1580,1736,1492
8.0,1,2,0,0,3981,2371,2160,2112
8.5,0,2,0,1,4109,2879,2436,3416
9.0,0,2,0,1,3687,2021,3224,2668
9.5,0,1,0,1,2215,1715,3208,2896
10.0,0,1,0,1,1480,1086,3464,2560
10.5,0,1,0,1,1215,1082,3512,2736
11.0,0,1,0,1,889,750,3444,2680
11.5,1,1,0,1,962,795,3544,3016
12.0,1,1,0,1,1222,992,3544,2984
12.5,1,1,1,1,1210,1134,3620,3088
13.0,1,1,1,1,1120,1047,3928,3084
13.5,1,1,1,1,858,879,2984,3096
14.0,1,1,1,1,915,826,3152,2528
14.5,1,1,1,1,922,923,3032,2728
15.0,1,1,1,1,1048,981,3244,2696
15.5,1,0,1,1,978,1019,2848,2860
16.0,1,0,1,1,1160,1124,3768,3060
16.5,1,0,1,1,1238,1451,3648,3720
17.0,1,0,1,1,1740,1851,3672,3352
17.5,1,1,1,1,1870,2494,3216,3424
18.0,2,1,1,0,2108,2751,2828,2908
18.5,1,1,1,0,1744,2734,2304,2608
19.0,1,0,1,0,1564,2235,2080,2280
19.5,1,0,1,0,1203,1862,1828,1896
20.0,1,0,1,0,1033,1505,1988,1964
20.5,1,0,1,0,979,1232,1520,1772
21.0,1,0,1,0,910,1115,1884,1712
21.5,1,0,1,0,731,999,1860,1588
22.0,1,0,1,0,711,917,1568,1608
22.5,1,0,0,0,488,778,1188,1360
23.0,1,0,0,0,469,704,976,1136
23.5,1,0,0,0,410,594,868,1096
24.0,0,0,0,0,125,373,360,600
24.5,-,-,-,-,1,5,8,8
