Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,250,136,720,144
5.5,0,0,0,0,146,464,336,332
6.0,0,0,0,0,170,660,392,436
6.5,0,0,0,0,220,1342,364,736
7.0,0,1,0,0,348,2508,524,1068
7.5,0,1,0,0,476,4656,588,2160
8.0,0,1,0,0,716,7268,888,2452
8.5,0,1,0,0,766,9076,1040,2480
9.0,0,1,0,1,1064,6962,1288,2408
9.5,0,1,0,1,1136,5724,1568,3008
10.0,0,1,0,1,1286,2788,2084,2844
10.5,0,1,0,1,1388,2722,2020,3432
11.0,0,1,0,1,1580,2216,2072,3392
11.5,1,1,0,1,1606,2292,1904,4720
12.0,1,1,0,1,1998,2154,2056,3904
12.5,1,1,0,1,1800,2584,2592,3496
13.0,1,1,0,1,1844,2094,2840,2672
13.5,1,1,1,1,1658,2118,2648,2788
14.0,1,1,1,0,1894,1682,2864,2368
14.5,1,1,1,1,1896,1942,3144,2512
15.0,1,1,1,1,2268,1652,3224,2264
15.5,1,0,1,1,2352,1838,3184,2528
16.0,1,0,1,1,2898,1724,4080,2536
16.5,1,0,1,1,3102,1986,4400,2968
17.0,1,0,1,1,4178,1752,3928,2376
17.5,1,1,1,0,5900,2488,3084,2824
18.0,2,1,1,0,6488,2462,3224,2256
18.5,2,0,1,0,6172,2880,2592,2308
19.0,1,0,1,0,5182,2010,2768,1536
19.5,1,0,1,0,4078,1656,1992,1616
20.0,1,0,1,0,3706,1216,2480,1608
20.5,1,0,1,0,3292,1000,1832,1368
21.0,1,0,1,0,3356,886,2296,1528
21.5,1,0,1,0,3008,824,2004,1588
22.0,1,0,1,0,3130,748,2344,1492
22.5,1,0,0,0,2770,572,1972,1024
23.0,1,0,0,0,2814,386,1856,668
23.5,1,0,0,0,2288,358,1472,560
24.0,1,0,0,0,538,164,348,336
24.5,-,-,-,-,2,2,4,0
