Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,73,32,190,45
5.5,0,0,0,0,50,153,99,214
6.0,0,0,0,0,58,204,118,242
6.5,0,0,0,0,96,375,139,361
7.0,0,0,0,0,171,691,170,518
7.5,1,0,0,0,265,1156,177,816
8.0,1,0,0,0,404,1622,269,1250
8.5,1,0,0,0,434,2354,375,2165
9.0,1,0,0,0,483,2406,547,3326
9.5,1,0,0,0,415,2828,678,4991
10.0,0,0,0,0,523,2361,888,5184
10.5,0,0,0,0,641,2576,1186,6268
11.0,0,0,0,0,759,2447,1630,6267
11.5,0,0,0,0,884,2207,2004,5830
12.0,1,1,0,0,1179,1919,2426,4664
12.5,1,1,0,0,1365,1954,2634,5088
13.0,1,1,0,0,1378,1605,3020,4438
13.5,0,1,0,0,1371,1645,3232,4858
14.0,0,1,0,0,1542,1425,3656,4238
14.5,1,1,0,1,1610,1592,4177,4701
15.0,1,1,1,1,1794,1456,4800,4370
15.5,0,1,1,1,1844,1598,4895,4352
16.0,0,1,1,1,1992,1496,5228,3771
16.5,0,1,1,1,1989,1703,5090,4178
17.0,0,1,1,1,2186,1796,5106,3501
17.5,1,1,1,1,2324,2277,4657,3378
18.0,1,1,1,1,2770,2288,4536,2482
18.5,1,1,0,1,2654,2210,4166,2144
19.0,0,1,0,1,2668,1472,4617,1543
19.5,0,1,0,0,2345,1058,4128,1116
20.0,0,1,0,1,2497,678,4518,830
20.5,0,1,0,0,2124,468,3768,684
21.0,0,1,0,0,2080,364,3215,576
21.5,0,1,0,0,1595,338,2268,564
22.0,1,1,0,0,1515,262,2127,474
22.5,0,1,0,0,1186,209,1648,361
23.0,0,1,0,0,1154,154,1322,248
23.5,0,1,0,0,1046,114,1001,206
24.0,0,0,0,0,217,64,211,116
24.5,-,-,-,-,0,0,0,0
