Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,88,109,136,166
5.5,0,0,0,0,196,637,184,980
6.0,0,0,0,0,401,922,350,1260
6.5,0,0,0,0,829,1411,506,1516
7.0,1,0,0,0,1967,2203,866,1806
7.5,1,0,0,0,3600,3389,1172,2410
8.0,1,1,0,0,5453,4385,1602,2580
8.5,1,1,0,0,5450,4408,2030,3072
9.0,1,0,1,0,4958,2958,2692,3178
9.5,1,0,1,0,2768,2432,2952,3612
10.0,1,0,1,0,2231,1822,3168,3642
10.5,1,0,1,0,1826,2069,3544,3992
11.0,1,0,1,0,1609,1783,3248,3792
11.5,1,0,1,0,1676,1739,3162,3636
12.0,1,1,1,0,2043,1845,3324,3430
12.5,1,1,1,1,1957,2055,3216,3342
13.0,1,1,1,1,1690,1704,3224,3732
13.5,1,1,1,0,1502,1638,3016,3388
14.0,0,1,0,1,1694,1580,3030,3400
14.5,0,1,1,1,1639,1823,3180,3732
15.0,1,1,0,1,1674,1777,3320,4008
15.5,0,0,0,1,1573,2105,3200,4072
16.0,0,1,0,1,1802,2466,3410,4036
16.5,0,0,1,1,1926,2731,3432,4092
17.0,0,1,0,1,2446,3204,3440,4338
17.5,0,1,0,1,3028,4064,3344,3900
18.0,1,1,0,1,3360,4319,3140,3300
18.5,0,1,0,1,3077,4294,2904,3048
19.0,0,1,0,1,2634,3476,2748,2760
19.5,0,1,0,1,2294,2771,2634,2490
20.0,0,1,0,1,2213,2300,2876,2278
20.5,0,1,0,1,1947,2005,2764,2004
21.0,0,1,0,1,1857,1820,2904,1616
21.5,0,1,0,0,1577,1446,2348,1440
22.0,0,1,0,0,1518,1190,2184,1116
22.5,0,1,0,0,1161,928,1752,876
23.0,0,1,0,0,907,699,1446,684
23.5,0,1,0,0,736,512,1086,440
24.0,0,0,0,0,116,63,160,88
24.5,-,-,-,-,0,2,0,0
