Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,60,131,148,192
5.5,0,0,0,0,177,515,325,657
6.0,0,0,0,0,271,791,407,840
6.5,1,0,0,0,515,1680,552,1065
7.0,1,0,0,0,958,3082,804,1720
7.5,1,0,0,0,1587,5037,938,1964
8.0,1,1,0,0,1839,7287,1373,2593
8.5,1,0,1,0,1718,7550,1420,2872
9.0,1,0,1,0,1603,5335,1678,2794
9.5,1,0,1,0,1117,3117,1654,2749
10.0,1,0,1,0,897,1554,1754,2534
10.5,1,1,1,0,811,1299,1854,2834
11.0,1,0,1,0,823,1187,1938,2847
11.5,1,0,1,0,905,1112,1996,2772
12.0,1,1,1,0,1189,1306,2226,2698
12.5,1,1,1,1,1127,1612,2190,2850
13.0,1,1,1,1,1018,1205,2250,2488
13.5,1,0,1,0,907,1129,2144,2451
14.0,1,0,1,0,1021,944,2156,2194
14.5,1,1,1,1,1061,1011,2279,2148
15.0,1,1,1,1,1209,963,2398,2174
15.5,0,0,1,1,1256,1039,2468,2256
16.0,0,1,1,1,1708,1009,2854,2222
16.5,0,1,1,1,1921,1170,3083,2438
17.0,1,1,1,1,3265,1331,3138,2410
17.5,1,1,1,1,4494,1696,3069,2181
18.0,1,1,0,1,4822,1671,2907,1834
18.5,1,1,0,1,4096,1523,2540,1572
19.0,0,1,0,1,3543,1172,2311,1326
19.5,0,1,0,1,2948,1010,2176,1288
20.0,0,1,0,1,2591,907,2254,1244
20.5,0,1,0,0,2156,723,2200,1200
21.0,0,1,0,0,2040,651,2404,1236
21.5,0,1,0,0,1666,571,2106,1192
22.0,0,1,0,0,1542,517,1876,1049
22.5,0,1,0,0,1179,378,1570,942
23.0,0,1,0,0,962,332,1306,716
23.5,0,1,0,0,708,238,1210,615
24.0,0,0,0,0,222,99,368,294
24.5,-,-,-,-,3,5,4,8
