Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,78,98,96,120
5.5,0,0,0,0,368,204,432,164
6.0,0,0,0,0,328,402,364,224
6.5,1,0,0,0,818,768,616,280
7.0,1,0,0,0,1242,1572,880,444
7.5,1,0,0,0,2256,2522,1172,752
8.0,2,1,1,0,3370,3866,1520,1024
8.5,1,1,1,0,3130,5248,1912,1180
9.0,1,0,1,0,2650,2956,1964,884
9.5,1,0,1,0,1740,2302,2288,1236
10.0,1,0,1,0,1316,1110,1912,1104
10.5,1,1,1,0,1180,1100,2576,1232
11.0,1,0,1,0,996,848,2136,1164
11.5,1,0,1,0,1028,830,2096,1156
12.0,1,1,1,0,1254,956,2048,1288
12.5,1,1,1,1,1364,1148,2412,1608
13.0,1,1,1,1,1078,922,1944,1552
13.5,1,1,1,1,1000,888,1952,1468
14.0,1,0,0,0,1006,868,1712,1520
14.5,1,1,1,1,974,1032,1832,1716
15.0,1,1,1,1,1040,988,1660,1552
15.5,0,0,1,1,1080,1144,1720,1832
16.0,0,1,1,1,1362,1304,1656,1944
16.5,0,1,1,1,1528,1400,1960,2120
17.0,0,1,1,1,2536,1634,1952,1944
17.5,1,1,1,1,3214,1954,1696,2016
18.0,0,1,1,1,3438,2124,1712,2040
18.5,0,1,0,1,2736,1960,1384,1736
19.0,0,1,0,1,2302,1730,1432,1552
19.5,0,1,0,1,1766,1518,1200,1644
20.0,0,1,0,1,1548,1250,948,1540
20.5,0,1,0,0,1136,1138,740,1624
21.0,0,1,0,0,1076,1180,792,1672
21.5,0,1,0,0,852,1004,680,1360
22.0,0,1,0,0,772,814,664,1304
22.5,0,1,0,0,560,768,544,984
23.0,0,1,0,0,528,676,464,1040
23.5,0,1,0,0,356,510,264,728
24.0,0,0,0,0,86,166,88,164
24.5,-,-,-,-,0,0,0,4
