Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,64,110,104,176
5.5,0,0,0,0,84,268,64,228
6.0,1,0,0,0,186,378,152,320
6.5,1,0,0,0,342,804,304,444
7.0,1,0,0,0,592,1678,480,912
7.5,1,0,0,0,1040,3112,664,1552
8.0,2,1,1,0,1676,4412,984,1928
8.5,1,1,1,1,1648,5288,1152,2516
9.0,1,0,1,0,1262,2984,1072,2088
9.5,1,0,1,0,1132,2538,1300,2464
10.0,1,0,1,0,1096,1688,1176,1704
10.5,1,1,1,1,996,1342,1368,2064
11.0,1,0,1,0,902,918,1328,1616
11.5,1,0,1,1,1024,960,1536,1888
12.0,1,1,1,1,1460,1254,1968,1868
12.5,1,1,1,1,1308,1522,1928,2232
13.0,1,1,1,1,1156,1450,2088,2004
13.5,1,1,1,1,996,1102,1656,1856
14.0,0,1,0,1,1074,986,1556,1520
14.5,1,1,1,1,1224,1042,1592,1704
15.0,1,1,1,1,1304,950,1732,1656
15.5,0,1,1,1,1320,1012,1732,1500
16.0,0,1,1,1,1814,984,1848,1432
16.5,0,1,1,1,2084,1132,2320,1636
17.0,0,1,1,1,2890,1208,2104,1836
17.5,1,1,1,1,3024,1430,1968,1416
18.0,0,1,1,1,2806,1328,2008,1332
18.5,0,1,0,1,2194,1152,1492,1080
19.0,0,1,0,1,1976,952,1448,936
19.5,0,1,0,1,1578,666,1304,760
20.0,0,1,0,1,1434,642,1304,700
20.5,0,1,0,1,1252,546,1472,664
21.0,0,1,0,1,1180,508,1236,752
21.5,0,1,0,0,938,416,1040,648
22.0,0,1,0,0,794,396,876,608
22.5,0,1,0,0,598,302,652,440
23.0,0,1,0,0,554,278,484,384
23.5,0,1,0,0,382,248,488,352
24.0,0,0,0,0,130,124,136,200
24.5,-,-,-,-,0,0,0,0
