Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,136,52,232,80
5.5,0,0,0,0,224,250,300,276
6.0,1,0,0,0,468,430,464,384
6.5,1,0,0,0,774,772,592,656
7.0,1,0,0,0,1572,1394,1020,968
7.5,2,0,1,0,2372,2664,1312,2212
8.0,2,0,1,0,3288,4390,1760,3424
8.5,2,0,1,0,2534,5318,1732,4216
9.0,1,0,1,0,1994,3328,2076,3308
9.5,1,0,1,0,1380,2820,2356,2960
10.0,1,0,1,0,1268,2600,2588,2176
10.5,1,0,1,1,1260,2248,3104,2392
11.0,1,0,1,0,1240,1178,3504,1760
11.5,1,0,1,1,1412,1142,2692,2060
12.0,1,1,1,1,2396,1492,3808,2248
12.5,1,1,1,1,1854,2430,3660,2792
13.0,1,1,1,1,1408,1710,2768,2296
13.5,1,1,1,1,1152,1362,2440,2620
14.0,1,1,1,1,1588,1476,2264,2036
14.5,1,1,1,1,2036,1346,3220,2288
15.0,1,1,1,1,1688,1042,2672,1840
15.5,0,1,1,1,2332,1268,2448,1988
16.0,0,1,1,1,2740,1226,2880,1912
16.5,0,1,1,1,2506,1360,2832,2368
17.0,0,1,1,1,3384,1382,3136,2488
17.5,0,1,1,1,3586,1836,2384,2488
18.0,0,2,1,1,3282,2034,3968,2312
18.5,0,1,0,1,2650,2024,1856,2152
19.0,0,1,0,1,2022,1800,1664,1872
19.5,0,1,0,1,1526,1696,1128,1988
20.0,0,1,0,1,1320,1420,1016,1644
20.5,0,1,0,1,952,1300,880,1720
21.0,0,1,0,1,1044,1206,1120,1616
21.5,0,1,0,1,732,1138,704,1672
22.0,0,1,0,0,636,1038,828,1472
22.5,0,1,0,0,444,830,648,1288
23.0,0,1,0,0,378,740,568,880
23.5,0,1,0,0,196,578,260,864
24.0,-,0,-,0,32,616,40,848
24.5,-,-,-,-,0,26,0,16
