Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,320,64,176,64
5.5,0,0,0,0,444,220,212,176
6.0,1,0,0,0,716,328,232,152
6.5,1,0,0,0,1200,684,412,304
7.0,1,0,1,0,2304,1220,644,408
7.5,2,0,1,0,3504,2408,872,720
8.0,2,0,1,0,4992,3236,1080,600
8.5,2,0,1,0,3804,3448,1280,592
9.0,2,0,1,0,2968,1780,1468,504
9.5,1,0,1,0,1884,1740,1336,696
10.0,1,0,1,0,1640,828,1612,520
10.5,1,0,1,1,1288,888,1288,680
11.0,1,0,1,0,1196,664,1224,592
11.5,1,0,1,1,1084,748,1164,696
12.0,1,1,1,1,1368,832,1304,624
12.5,1,1,1,1,1292,1096,1344,804
13.0,1,1,1,1,1188,944,1348,792
13.5,1,1,1,1,920,944,1084,896
14.0,1,1,1,1,1008,820,1100,796
14.5,1,1,1,1,928,972,936,872
15.0,0,1,1,1,1064,876,972,1008
15.5,0,1,1,1,1032,1100,924,1120
16.0,0,1,1,1,1308,1060,1056,1044
16.5,0,1,1,1,1376,1324,1056,1096
17.0,0,1,1,1,2408,1396,1300,1152
17.5,0,1,1,1,2476,2124,1008,1208
18.0,0,2,1,1,2252,2288,808,1192
18.5,0,1,0,1,1636,2452,656,1108
19.0,0,1,0,1,1572,2312,560,1116
19.5,0,1,0,1,1048,2072,416,1020
20.0,0,1,0,1,860,1856,392,1056
20.5,0,1,0,1,664,1780,288,1072
21.0,0,1,0,1,604,1684,324,1040
21.5,0,1,0,1,404,1416,252,872
22.0,0,1,0,0,332,1324,208,904
22.5,0,1,0,0,192,1292,220,824
23.0,0,1,0,0,196,1004,140,648
23.5,0,1,0,0,168,892,104,628
24.0,0,0,0,0,40,752,48,516
24.5,-,-,-,-,0,12,0,8
