Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,-,0,-,0,236,10,264,8
5.5,-,0,-,0,384,138,364,308
6.0,-,0,-,0,706,142,636,224
6.5,-,0,-,0,1404,248,784,360
7.0,-,0,-,0,2394,458,1328,416
7.5,-,0,-,0,3636,804,1552,736
8.0,-,1,-,0,3702,980,1776,828
8.5,-,0,-,0,2960,684,2056,928
9.0,-,0,-,0,2062,378,2160,728
9.5,-,0,-,0,1168,402,1984,864
10.0,-,0,-,0,982,278,2156,580
10.5,-,0,-,0,754,298,2228,584
11.0,-,0,-,0,708,248,2276,456
11.5,-,0,-,0,714,282,2076,716
12.0,-,0,-,0,778,312,2032,804
12.5,-,0,-,0,596,442,1704,1088
13.0,-,0,-,0,628,440,1928,1060
13.5,-,0,-,0,462,430,1440,1152
14.0,-,0,-,0,462,346,1424,1012
14.5,-,0,-,0,440,444,1360,1136
15.0,-,0,-,0,454,472,1384,1184
15.5,-,0,-,0,456,574,1392,1352
16.0,-,0,-,0,592,532,1448,1464
16.5,-,0,-,0,656,952,1300,1508
17.0,-,0,-,0,934,808,1424,1624
17.5,-,0,-,0,824,1632,1200,1904
18.0,-,0,-,0,758,1470,1168,1736
18.5,-,0,-,0,610,2438,840,1800
19.0,-,0,-,0,476,1642,696,1720
19.5,-,0,-,0,338,2184,556,1632
20.0,-,0,-,0,278,1568,528,1592
20.5,-,0,-,0,228,1522,316,1752
21.0,-,0,-,0,204,1228,352,1560
21.5,-,0,-,0,144,1364,288,1936
22.0,-,0,-,0,150,990,224,1952
22.5,-,0,-,0,90,1096,264,1552
23.0,-,0,-,0,94,820,224,1280
23.5,-,0,-,0,66,1010,152,1432
24.0,-,0,-,0,14,652,8,1140
24.5,-,-,-,-,2,146,8,24
