Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,240,8,148,4
5.5,0,0,0,0,332,216,184,208
6.0,0,0,0,0,640,244,284,168
6.5,0,0,0,0,1200,336,412,232
7.0,0,0,0,0,2532,628,608,312
7.5,0,1,0,0,2904,1048,680,336
8.0,0,1,0,0,3124,1304,904,436
8.5,0,1,0,0,2760,1340,904,400
9.0,0,0,0,0,1920,576,1028,296
9.5,0,0,0,0,1160,532,852,436
10.0,0,0,0,0,964,516,976,356
10.5,0,0,0,0,780,420,964,320
11.0,0,0,0,0,776,312,1040,312
11.5,0,0,0,0,744,296,896,392
12.0,0,0,0,0,980,412,976,432
12.5,0,0,0,0,740,540,872,456
13.0,0,0,0,0,600,440,920,488
13.5,0,0,0,0,520,528,832,556
14.0,0,0,0,0,572,440,720,496
14.5,0,0,0,0,476,480,640,592
15.0,0,0,0,0,584,540,732,532
15.5,0,0,0,0,544,596,624,564
16.0,0,0,0,0,860,560,824,644
16.5,0,0,0,0,848,708,680,648
17.0,0,0,0,0,1148,1076,816,728
17.5,0,0,0,0,1136,1272,532,812
18.0,0,0,0,0,1064,1668,560,768
18.5,0,0,0,0,748,1812,384,784
19.0,0,0,0,0,652,1944,392,740
19.5,0,0,0,0,504,1464,252,784
20.0,0,0,0,0,392,1452,208,792
20.5,0,0,0,0,268,1472,208,804
21.0,0,0,0,0,224,1044,260,912
21.5,0,0,0,0,200,1208,192,776
22.0,0,0,0,0,224,832,200,752
22.5,0,0,0,0,140,1012,128,868
23.0,0,0,0,0,164,936,128,672
23.5,0,0,0,0,88,756,96,656
24.0,0,0,0,0,28,876,28,616
24.5,-,-,-,-,0,244,8,136
