Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,264,8,184,4
5.5,0,0,0,0,420,220,296,256
6.0,0,0,0,0,788,164,368,176
6.5,0,0,0,0,1172,280,464,144
7.0,0,0,0,0,2056,416,632,168
7.5,0,1,0,0,3016,812,776,332
8.0,0,1,0,0,3380,984,984,280
8.5,0,1,0,0,2920,840,1048,336
9.0,0,1,0,0,2412,684,1384,328
9.5,0,1,0,0,1400,856,1200,348
10.0,0,0,0,0,1080,364,1264,264
10.5,0,0,0,1,916,336,1148,360
11.0,0,0,0,0,956,352,1120,360
11.5,0,0,0,0,704,336,944,360
12.0,0,0,0,0,940,444,1168,496
12.5,0,0,0,0,664,420,892,480
13.0,0,0,0,0,692,500,988,604
13.5,0,0,0,0,572,440,824,532
14.0,0,0,0,0,656,496,892,532
14.5,0,0,0,0,528,400,744,492
15.0,0,0,0,0,592,544,864,648
15.5,0,0,0,0,516,632,704,568
16.0,0,0,0,0,704,660,900,816
16.5,0,0,0,0,724,840,756,608
17.0,0,0,0,0,1116,1056,940,936
17.5,0,0,0,0,1060,1256,656,864
18.0,1,0,0,0,1096,1648,648,1120
18.5,1,0,0,0,848,1928,488,848
19.0,1,0,0,0,792,2020,496,1112
19.5,0,0,0,0,644,1856,336,920
20.0,0,0,0,0,512,1436,336,1124
20.5,0,0,0,0,416,1592,284,952
21.0,0,0,0,0,376,1228,324,1060
21.5,0,0,0,0,264,1388,200,912
22.0,0,0,0,0,280,960,240,1220
22.5,0,0,0,0,224,1332,208,1048
23.0,0,0,0,0,248,1256,208,928
23.5,0,0,0,0,168,984,160,808
24.0,0,0,0,0,32,1092,12,732
24.5,-,-,-,-,0,180,0,144
