Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5,-,0,-,0,,,,
5.5,-,0,-,0,,,,
6,-,0,-,0,,,,
6.5,-,1,-,0,,,,
7,-,1,-,0,,,,
7.5,-,1,-,0,,,,
8,-,2,-,0,,,,
8.5,-,2,-,0,,,,
9,-,1,-,0,,,,
9.5,-,1,-,0,,,,
10,-,1,-,0,,,,
10.5,-,1,-,0,,,,
11,-,1,-,0,,,,
11.5,-,0,-,0,,,,
12,-,1,-,0,,,,
12.5,-,1,-,0,,,,
13,-,1,-,0,,,,
13.5,-,0,-,0,,,,
14,-,0,-,0,,,,
14.5,-,0,-,0,,,,
15,-,0,-,0,,,,
15.5,-,0,-,0,,,,
16,-,0,-,0,,,,
16.5,-,0,-,0,,,,
17,-,0,-,0,,,,
17.5,-,0,-,0,,,,
18,-,0,-,0,,,,
18.5,-,0,-,0,,,,
19,-,0,-,0,,,,
19.5,-,0,-,0,,,,
20,-,0,-,0,,,,
20.5,-,0,-,0,,,,
21,-,0,-,0,,,,
21.5,-,0,-,0,,,,
22,-,0,-,0,,,,
22.5,-,0,-,0,,,,
23,-,0,-,0,,,,
23.5,-,0,-,0,,,,
24,-,-,-,-,,,,
24.5,-,-,-,-,,,,
