Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,104,32,48,40
5.5,0,0,0,0,136,160,92,144
6.0,0,0,0,0,252,312,168,224
6.5,1,0,0,0,528,588,168,360
7.0,1,0,0,0,936,1024,316,576
7.5,1,0,0,0,1556,1544,432,1000
8.0,2,0,0,0,2316,2584,560,1960
8.5,2,0,0,0,1752,3236,600,1572
9.0,1,0,0,0,1540,2320,712,1480
9.5,1,0,0,0,1052,2644,680,1528
10.0,1,0,0,0,920,1308,792,1120
10.5,1,0,0,0,824,1272,900,1152
11.0,1,0,0,0,840,868,896,1012
11.5,0,0,0,0,916,904,992,1128
12.0,1,0,0,0,1376,928,1312,904
12.5,1,0,0,0,1000,1248,1112,1200
13.0,1,0,0,0,1016,1056,1160,1168
13.5,0,0,0,0,812,1000,840,1364
14.0,0,0,0,0,936,780,1160,1476
14.5,0,0,0,0,920,1024,1332,1412
15.0,0,0,0,0,1164,692,1504,1224
15.5,0,0,0,0,1024,868,1376,1168
16.0,0,0,0,0,1528,780,1488,868
16.5,0,1,0,0,1608,1052,1456,1048
17.0,0,1,0,0,2100,952,1660,784
17.5,0,1,0,0,1984,1408,1352,784
18.0,0,1,0,0,2116,1500,1188,688
18.5,0,1,0,0,1668,1396,888,680
19.0,0,1,0,0,1576,1256,1084,540
19.5,0,1,0,0,1312,992,856,616
20.0,0,1,0,0,1080,912,936,452
20.5,0,1,0,0,764,736,612,560
21.0,0,1,0,0,872,752,604,576
21.5,0,1,0,0,548,844,504,392
22.0,0,1,0,0,556,636,440,440
22.5,0,1,0,0,416,620,340,328
23.0,0,0,0,0,312,492,328,344
23.5,0,0,0,0,188,356,184,256
24.0,0,0,0,0,40,256,32,128
24.5,-,0,-,0,4,60,0,52
