Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,116,38,192,64
5.5,0,0,0,0,152,192,192,336
6.0,0,0,0,0,324,332,328,360
6.5,1,0,0,0,596,576,440,368
7.0,1,0,0,0,1154,1376,760,792
7.5,1,0,0,0,1764,2152,972,1368
8.0,1,0,0,0,2610,3358,1440,1544
8.5,1,0,0,0,2174,3074,1428,1472
9.0,1,0,0,0,1906,2010,1872,1672
9.5,1,0,0,0,1310,1874,1488,1552
10.0,1,0,0,0,1028,854,1808,1016
10.5,0,0,0,0,862,854,1776,1260
11.0,0,0,0,0,852,608,1784,1272
11.5,0,0,0,0,870,658,1944,1552
12.0,0,0,0,0,1270,778,2184,1448
12.5,0,0,0,0,1114,962,2064,1828
13.0,0,0,0,0,882,850,1944,1616
13.5,0,0,0,0,746,764,1828,1528
14.0,0,0,0,0,794,652,1684,1368
14.5,0,0,0,0,782,718,1752,1464
15.0,0,0,0,0,892,728,1840,1424
15.5,0,0,0,0,798,846,1780,1644
16.0,0,0,0,0,1296,804,2092,1452
16.5,0,1,0,0,1340,938,1984,1732
17.0,0,1,0,0,1992,1036,2272,1660
17.5,0,1,0,0,2408,1390,2044,1556
18.0,0,1,0,0,2354,1536,1744,1512
18.5,0,1,0,0,1806,1574,1304,1440
19.0,0,1,0,0,1646,1426,1084,1384
19.5,0,1,0,0,1270,1218,1040,1156
20.0,0,1,0,0,1112,1020,852,1256
20.5,0,1,0,0,906,1012,648,1320
21.0,0,1,0,0,712,894,844,1284
21.5,0,1,0,0,592,844,600,1200
22.0,0,1,0,0,568,782,648,1092
22.5,0,1,0,0,390,704,564,1132
23.0,0,0,0,0,326,614,440,860
23.5,0,0,0,0,222,544,336,840
24.0,0,0,0,0,40,412,56,672
24.5,-,0,-,0,2,106,0,152
