Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,316,88,348,84
5.5,0,0,0,0,232,340,256,208
6.0,0,0,0,0,340,624,240,360
6.5,1,0,0,0,620,1428,348,572
7.0,1,0,0,0,1128,2052,428,804
7.5,1,1,0,0,1904,3200,672,896
8.0,1,0,0,0,2836,4420,836,1364
8.5,1,0,0,0,2528,5028,896,1640
9.0,1,0,0,0,2532,3968,1080,1808
9.5,1,0,0,0,2036,4292,1088,2116
10.0,1,0,0,0,1564,2220,1212,1628
10.5,0,0,0,0,1344,2292,1264,1776
11.0,0,0,0,0,1496,1868,1472,1680
11.5,0,0,0,0,1416,2024,1512,2016
12.0,0,0,0,0,1840,1704,1720,1712
12.5,0,0,0,0,1616,2164,1656,1976
13.0,0,0,0,0,1772,1784,1856,1708
13.5,0,0,0,0,1500,1720,1576,1776
14.0,0,0,0,0,1684,1440,1900,1412
14.5,0,0,0,0,1604,1640,1720,1640
15.0,0,0,0,0,1976,1484,1992,1432
15.5,0,0,0,0,1960,1720,1984,1712
16.0,0,0,0,0,2300,1528,2240,1632
16.5,0,0,0,0,2436,2032,1888,1952
17.0,1,1,0,0,3532,1848,2272,2004
17.5,0,1,0,0,3568,2624,1976,2200
18.0,0,1,0,0,4308,2956,2020,1664
18.5,0,1,0,0,3604,2876,1664,1528
19.0,0,1,0,0,3428,2544,1696,1184
19.5,0,1,0,0,2680,1936,1392,1312
20.0,0,1,0,0,2552,1612,1488,1088
20.5,0,1,0,0,2040,1312,1296,920
21.0,0,1,0,0,2180,1204,1512,868
21.5,0,1,0,0,1920,1108,1504,780
22.0,0,0,0,0,2228,1044,1616,928
22.5,0,0,0,0,1692,856,1132,668
23.0,0,0,0,0,1736,816,1296,520
23.5,0,0,0,0,1376,572,832,440
24.0,0,0,0,0,392,552,216,464
24.5,-,0,-,0,4,68,16,56
