Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,63,25,368,52
5.5,0,0,0,0,35,214,192,328
6.0,0,0,0,0,56,468,200,736
6.5,0,0,0,0,76,843,192,1332
7.0,1,0,0,0,116,1568,256,1588
7.5,1,1,0,0,173,1911,344,1124
8.0,1,1,0,0,286,3563,500,1376
8.5,1,0,0,0,252,5234,544,1988
9.0,1,0,0,0,309,4358,696,2300
9.5,1,0,0,0,242,3658,672,2144
10.0,1,0,0,0,304,1591,848,1408
10.5,0,0,0,0,282,1109,740,1704
11.0,0,0,0,0,407,727,832,1640
11.5,0,0,0,0,485,789,912,1968
12.0,0,0,0,0,603,814,1384,1628
12.5,1,0,0,0,547,996,1184,1864
13.0,0,0,0,0,535,890,1156,2680
13.5,0,0,0,0,445,733,992,2040
14.0,0,0,0,0,544,539,1200,1160
14.5,0,0,0,0,501,545,1136,1192
15.0,0,0,0,0,655,440,1372,1168
15.5,0,0,0,0,642,493,1696,1220
16.0,1,0,1,0,1016,396,3256,1048
16.5,1,0,1,0,1219,439,2384,1048
17.0,1,1,1,0,2159,384,2456,944
17.5,1,1,1,0,2871,494,2432,996
18.0,1,1,1,0,3442,445,2440,736
18.5,1,1,1,0,2845,436,1692,660
19.0,1,1,0,0,2794,343,1416,652
19.5,1,1,0,0,2025,248,1216,532
20.0,1,1,0,0,1589,176,992,524
20.5,1,0,0,0,1226,181,808,448
21.0,1,1,0,0,1258,142,944,424
21.5,0,0,0,0,921,171,856,440
22.0,0,0,0,0,912,128,956,496
22.5,0,0,0,0,629,112,728,400
23.0,0,0,0,0,591,86,696,332
23.5,0,0,0,0,405,77,536,288
24.0,0,0,0,0,111,62,100,200
24.5,-,-,-,-,0,10,0,40
