Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,68,48,72,20
5.5,0,1,0,0,128,116,68,64
6.0,0,1,0,0,204,372,100,216
6.5,0,1,0,0,352,632,140,300
7.0,0,2,0,1,588,1488,256,628
7.5,1,2,0,0,1028,2508,384,816
8.0,0,2,0,0,1212,3504,480,880
8.5,0,2,0,0,1024,3968,424,840
9.0,0,1,0,1,984,2856,548,696
9.5,0,1,0,1,744,2800,568,768
10.0,0,1,0,1,784,2200,648,684
10.5,0,1,0,0,792,2636,656,672
11.0,0,0,0,0,792,1016,632,640
11.5,0,0,0,0,856,980,672,592
12.0,0,0,0,0,1660,1144,848,676
12.5,0,0,0,0,1204,1860,892,944
13.0,0,0,0,0,956,1456,840,744
13.5,0,0,0,0,792,1008,680,868
14.0,0,0,0,0,932,836,740,608
14.5,0,0,0,0,1420,988,760,684
15.0,0,0,0,0,1148,748,764,684
15.5,0,0,0,0,1352,660,728,600
16.0,1,0,0,0,2060,720,1116,568
16.5,1,0,1,0,2248,720,956,676
17.0,1,0,1,0,2916,744,1204,576
17.5,1,0,1,0,2876,832,756,624
18.0,2,0,1,0,2824,844,752,580
18.5,2,0,1,0,2056,852,608,448
19.0,2,0,1,0,1640,704,640,392
19.5,1,0,1,0,1320,668,504,396
20.0,1,0,1,0,1076,600,400,352
20.5,1,0,1,0,920,552,320,404
21.0,1,0,1,0,860,556,340,392
21.5,1,0,1,0,736,516,200,448
22.0,1,0,0,0,588,476,192,388
22.5,1,0,0,0,444,400,192,328
23.0,1,0,0,0,364,324,196,320
23.5,0,0,0,0,224,268,152,228
24.0,0,0,0,0,116,236,64,192
24.5,-,-,-,-,0,12,0,0
