Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,84,36,56,32
5.5,0,1,0,0,176,104,80,56
6.0,0,1,0,0,276,204,152,112
6.5,0,1,0,0,544,328,192,144
7.0,0,2,0,1,984,520,332,296
7.5,1,2,0,0,1580,1492,472,504
8.0,0,2,0,0,2176,2208,524,936
8.5,0,2,0,0,1688,3064,600,984
9.0,0,1,0,1,1284,812,696,448
9.5,0,1,0,0,872,1052,664,576
10.0,0,1,0,0,768,2076,784,800
10.5,0,0,0,0,824,888,976,616
11.0,0,0,0,0,664,464,744,548
11.5,0,0,0,0,664,504,928,456
12.0,0,0,0,0,1264,900,1144,640
12.5,0,0,0,0,1184,1512,1100,744
13.0,0,0,0,0,804,700,948,644
13.5,0,0,0,0,600,636,760,576
14.0,0,0,0,0,856,1020,800,592
14.5,0,0,0,0,1032,692,772,608
15.0,0,0,0,0,724,544,756,596
15.5,0,0,0,0,820,692,784,584
16.0,0,0,0,0,1784,992,768,592
16.5,1,0,1,0,1388,748,884,592
17.0,1,0,1,0,1508,924,796,736
17.5,1,0,1,0,1960,1312,572,784
18.0,2,0,1,0,2040,1288,608,604
18.5,2,0,1,0,1004,1212,368,584
19.0,2,0,1,0,772,1052,312,572
19.5,1,0,1,0,760,1036,288,616
20.0,1,0,1,0,724,880,216,408
20.5,1,0,1,0,496,808,192,520
21.0,1,0,1,0,656,788,272,560
21.5,1,0,1,0,660,784,272,504
22.0,1,0,0,0,300,568,184,480
22.5,1,0,0,0,172,536,80,440
23.0,1,0,0,0,172,380,104,328
23.5,0,0,0,0,100,456,72,248
24.0,0,0,0,0,28,320,16,276
24.5,-,-,-,-,0,12,0,0
