Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,166,106,256,168
5.5,0,1,0,0,202,204,288,228
6.0,0,1,0,0,376,284,360,320
6.5,0,1,0,0,702,506,552,464
7.0,0,2,0,1,1124,1146,648,692
7.5,1,2,0,0,1850,1460,904,1312
8.0,0,2,0,0,2398,2202,1284,1384
8.5,0,2,0,1,1792,1958,1136,1368
9.0,0,1,0,1,1322,1360,1192,1736
9.5,0,1,0,0,820,916,1088,1672
10.0,0,1,0,0,786,702,1220,1740
10.5,0,0,0,0,564,626,1152,1552
11.0,0,0,0,0,492,578,1168,1704
11.5,0,0,0,0,486,536,1080,1656
12.0,0,0,0,0,698,730,1392,1864
12.5,0,0,0,0,794,748,1240,1720
13.0,0,0,0,0,640,652,1392,1556
13.5,0,0,0,0,514,520,1264,1456
14.0,0,0,0,0,528,500,1256,1328
14.5,0,0,0,0,494,520,1168,1312
15.0,0,0,0,0,556,548,1316,1296
15.5,0,0,0,0,560,618,1264,1368
16.0,0,0,0,0,736,696,1416,1468
16.5,1,0,1,0,838,882,1440,1532
17.0,1,0,1,0,1076,1090,1636,1584
17.5,1,0,1,0,1250,1396,1456,1392
18.0,2,0,1,0,1360,1456,1376,1320
18.5,2,0,1,0,1296,1420,1288,1128
19.0,2,0,1,0,1088,1104,1296,960
19.5,1,0,1,0,1014,1124,1168,704
20.0,1,0,1,0,880,788,1056,648
20.5,1,0,1,0,816,698,1080,748
21.0,1,0,1,0,730,750,1152,696
21.5,1,0,1,0,686,578,1028,644
22.0,1,0,0,0,648,544,1140,680
22.5,1,0,0,0,576,432,1080,536
23.0,0,0,0,0,532,344,936,492
23.5,0,0,0,0,470,332,1004,408
24.0,0,0,0,0,404,294,444,296
24.5,-,-,-,-,2,38,0,44
