Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,1,0,0,112,16,76,24
5.5,0,1,0,0,148,56,64,40
6.0,0,1,0,0,216,80,104,52
6.5,0,1,0,0,576,312,128,112
7.0,0,2,0,1,788,880,240,148
7.5,1,3,0,1,1296,1144,320,296
8.0,0,2,0,1,1572,852,388,300
8.5,0,2,0,1,1260,708,480,240
9.0,0,1,0,1,972,352,504,156
9.5,0,1,0,1,548,332,480,160
10.0,0,1,0,1,476,180,416,128
10.5,0,0,0,0,412,216,368,204
11.0,0,0,0,0,420,240,456,172
11.5,0,0,0,0,384,344,400,204
12.0,0,0,0,0,484,252,408,280
12.5,0,0,0,0,388,292,484,352
13.0,0,0,0,0,340,288,384,336
13.5,0,0,0,0,248,276,288,280
14.0,0,0,0,0,312,244,296,256
14.5,0,0,0,0,312,240,296,252
15.0,0,0,0,0,348,252,312,300
15.5,0,0,0,0,332,324,288,312
16.0,0,0,0,0,384,320,360,384
16.5,1,0,0,0,916,424,320,384
17.0,1,0,1,0,708,452,344,360
17.5,1,0,1,0,1036,624,320,440
18.0,2,0,1,0,540,836,252,352
18.5,2,0,1,0,332,740,160,336
19.0,1,0,1,0,268,656,136,304
19.5,1,0,1,0,212,708,88,272
20.0,1,0,1,0,168,572,88,216
20.5,1,0,1,0,140,492,72,312
21.0,1,0,1,0,256,604,104,268
21.5,1,0,1,0,96,432,48,256
22.0,1,0,0,0,48,424,56,228
22.5,1,0,0,0,24,392,28,240
23.0,0,0,0,0,20,260,36,188
23.5,0,0,0,0,20,212,16,176
24.0,0,0,0,0,12,184,8,120
24.5,0,0,-,-,0,76,0,8
