Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,1,0,0,290,142,264,192
5.5,0,1,0,0,526,348,588,536
6.0,0,1,0,0,922,500,832,472
6.5,0,1,0,0,1920,826,1288,576
7.0,0,2,0,1,2496,1618,1312,892
7.5,0,3,0,0,4244,2342,1800,1088
8.0,0,2,0,1,5526,2742,2304,1396
8.5,0,2,0,1,4164,2036,2332,1916
9.0,0,1,0,1,2952,1340,2160,1448
9.5,0,1,0,0,1738,960,1968,1752
10.0,0,1,0,0,1552,682,2128,1448
10.5,0,0,0,0,946,670,1812,1840
11.0,0,0,0,0,878,642,1888,1536
11.5,0,0,0,0,920,724,1996,1660
12.0,0,0,0,0,1270,878,2376,1624
12.5,0,0,0,0,1210,1122,2152,2152
13.0,0,0,0,0,958,884,2176,2080
13.5,0,0,0,0,736,778,1640,1868
14.0,0,0,0,0,836,718,1588,1572
14.5,0,0,0,0,708,890,1472,1920
15.0,0,0,0,0,726,882,1600,1552
15.5,0,0,0,0,800,1116,1600,1968
16.0,0,0,0,0,1044,1226,1776,2056
16.5,1,0,0,0,1022,1662,1832,2696
17.0,1,0,1,0,1406,2052,1772,2384
17.5,1,0,1,0,1710,2830,1544,2712
18.0,1,0,1,0,1580,3404,1536,1928
18.5,1,0,1,0,1444,2966,1324,1960
19.0,1,0,1,0,1310,2760,1264,1604
19.5,1,0,1,0,1138,2454,1184,1520
20.0,1,0,1,0,962,2012,984,1136
20.5,1,0,1,0,874,1612,1152,1344
21.0,1,0,0,0,844,1456,1208,1264
21.5,1,0,0,0,666,1500,1196,1456
22.0,1,0,0,0,656,1058,984,1264
22.5,0,0,0,0,568,1116,1104,1136
23.0,0,0,0,0,468,754,872,840
23.5,0,0,0,0,364,666,684,768
24.0,0,0,0,0,238,512,368,544
24.5,0,0,-,-,18,164,0,8
