Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,260,16,272,40
5.5,0,1,0,0,434,64,368,184
6.0,0,1,0,0,856,176,576,244
6.5,0,1,0,0,1130,338,696,344
7.0,0,2,0,0,2050,554,1120,448
7.5,0,2,0,0,3490,906,1336,680
8.0,0,2,0,0,3474,1454,1700,792
8.5,0,1,0,0,2486,1282,1804,784
9.0,0,1,0,1,1734,504,1928,520
9.5,0,0,0,0,1018,406,1536,616
10.0,0,1,0,0,926,300,1648,504
10.5,0,0,0,0,642,286,1576,548
11.0,0,0,0,0,614,256,1448,528
11.5,0,0,0,0,594,286,1512,624
12.0,0,0,0,0,878,374,1696,780
12.5,0,0,0,0,874,524,1528,856
13.0,0,0,0,0,620,454,1496,960
13.5,0,0,0,0,506,376,1148,908
14.0,0,0,0,0,468,328,1096,884
14.5,0,0,0,0,388,416,1100,912
15.0,0,0,0,0,416,462,1000,880
15.5,0,0,0,0,412,564,924,1064
16.0,0,0,0,0,556,542,944,1096
16.5,0,0,0,0,682,802,1108,1248
17.0,1,0,0,0,830,944,1208,1240
17.5,1,0,0,0,894,1220,968,1360
18.0,1,0,0,0,914,1768,816,1304
18.5,1,0,0,0,688,1686,728,1264
19.0,1,0,0,0,580,1750,484,1284
19.5,1,0,0,0,438,1556,364,956
20.0,1,0,1,0,322,1146,344,1088
20.5,1,0,1,0,230,1248,288,952
21.0,1,0,0,0,182,954,304,1172
21.5,1,0,0,0,144,934,208,1072
22.0,0,0,0,0,104,882,192,1064
22.5,0,0,0,0,80,754,144,1216
23.0,0,0,0,0,68,584,116,880
23.5,0,0,0,0,40,580,56,708
24.0,0,0,0,0,16,516,24,856
24.5,0,0,-,-,2,148,0,4
