Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,188,32,104,32
5.5,0,0,0,0,360,136,148,80
6.0,0,1,0,0,624,172,232,72
6.5,0,1,0,0,976,444,280,128
7.0,0,1,0,0,1864,612,432,184
7.5,0,2,0,0,2864,1376,552,228
8.0,0,2,0,0,2816,2456,716,368
8.5,0,1,0,0,2184,1592,732,668
9.0,0,1,0,0,1388,548,736,304
9.5,0,0,0,0,852,352,704,288
10.0,0,0,0,0,732,240,748,184
10.5,0,0,0,0,476,260,688,248
11.0,0,0,0,0,488,232,664,256
11.5,0,0,0,0,516,280,644,316
12.0,0,0,0,0,660,296,888,328
12.5,0,0,0,0,536,428,536,416
13.0,0,0,0,0,440,372,524,392
13.5,0,0,0,0,368,344,484,384
14.0,0,0,0,0,404,304,504,392
14.5,0,0,0,0,336,372,440,440
15.0,0,0,0,0,412,376,456,440
15.5,0,0,0,0,372,500,460,392
16.0,0,0,0,0,460,512,568,408
16.5,0,0,0,0,528,700,460,536
17.0,0,0,0,0,800,872,560,552
17.5,1,0,0,0,916,1192,400,640
18.0,1,0,0,0,1872,1520,368,616
18.5,1,0,0,0,912,1600,296,592
19.0,1,0,0,0,696,1340,232,516
19.5,1,0,0,0,536,1312,216,528
20.0,1,0,0,0,432,992,176,468
20.5,1,0,0,0,340,832,108,376
21.0,1,0,0,0,268,808,212,472
21.5,1,0,0,0,208,924,128,452
22.0,0,0,0,0,152,640,96,472
22.5,0,0,0,0,92,756,64,504
23.0,0,0,0,0,84,480,64,352
23.5,0,0,0,0,48,468,24,248
24.0,0,0,0,0,12,448,4,336
24.5,0,-,-,-,4,128,0,16
