Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5,0,-,0,-,156,48,140,60
5.5,0,-,0,-,248,200,160,136
6,1,-,0,-,468,268,224,144
6.5,1,-,0,-,792,480,224,184
7,1,-,0,-,1304,1052,328,288
7.5,1,-,0,-,1824,1832,408,540
8,1,-,0,-,2060,1612,556,544
8.5,1,-,0,-,1636,1260,536,560
9,1,-,0,-,924,668,568,444
9.5,0,-,0,-,620,548,524,568
10,0,-,0,-,644,420,584,584
10.5,0,-,0,-,436,380,496,576
11,0,-,0,-,432,356,472,544
11.5,0,-,0,-,464,408,496,532
12,0,-,0,-,620,416,528,544
12.5,0,-,0,-,500,540,624,520
13,0,-,0,-,468,448,552,592
13.5,0,-,0,-,444,396,464,472
14,0,-,0,-,412,356,472,524
14.5,0,-,0,-,356,400,424,528
15,0,-,0,-,424,432,504,484
15.5,0,-,0,-,420,460,544,560
16,0,-,0,-,584,624,648,516
16.5,0,-,0,-,676,720,540,608
17,0,-,0,-,764,888,540,920
17.5,0,-,0,-,1028,1192,572,656
18,0,-,0,-,1100,1280,548,656
18.5,0,-,0,-,1052,1396,552,632
19,0,-,0,-,976,1200,560,424
19.5,0,-,0,-,820,1068,432,472
20,0,-,0,-,724,832,452,336
20.5,0,-,0,-,700,608,444,308
21,0,-,0,-,660,596,496,428
21.5,0,-,0,-,584,656,452,264
22,0,-,0,-,556,456,416,268
22.5,0,-,0,-,440,456,412,344
23,0,-,0,-,480,340,512,240
23.5,0,-,0,-,444,344,388,228
24,0,-,0,-,340,276,368,176
24.5,-,-,-,-,68,96,0,72
