Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,224,68,132,88
5.5,0,0,0,0,444,128,228,120
6.0,0,0,0,0,840,164,376,160
6.5,0,0,0,0,1428,304,552,168
7.0,1,0,0,0,2716,712,716,244
7.5,1,0,0,0,4068,1020,876,412
8.0,1,0,0,0,5464,1360,1256,408
8.5,1,0,0,0,3952,2056,1104,528
9.0,0,0,0,0,2912,1408,1392,560
9.5,0,0,0,0,1644,868,1240,600
10.0,0,0,0,0,1476,772,1360,516
10.5,0,0,0,0,1048,1260,1228,504
11.0,0,0,0,0,988,540,1232,536
11.5,0,0,0,0,936,508,1088,496
12.0,0,0,0,0,1376,660,1220,680
12.5,0,0,0,0,1268,964,1200,732
13.0,0,0,0,0,1020,1044,1104,684
13.5,0,0,0,0,688,752,1048,784
14.0,0,0,0,0,828,644,1000,808
14.5,0,0,0,0,808,888,932,768
15.0,0,0,0,0,1020,692,960,808
15.5,0,0,0,0,796,808,840,984
16.0,0,0,0,0,1096,1012,1112,912
16.5,0,0,0,0,1460,1236,1104,1008
17.0,0,0,0,0,1652,1528,1064,1172
17.5,0,0,0,0,1520,2336,1040,1280
18.0,0,0,0,0,1620,2640,892,1152
18.5,0,0,0,0,1276,2640,672,1060
19.0,0,0,0,0,912,2472,612,1032
19.5,0,0,0,0,776,2252,460,1000
20.0,0,0,0,0,588,2020,344,976
20.5,0,0,0,0,476,1816,280,1008
21.0,0,0,0,0,464,1644,264,1104
21.5,0,0,0,0,324,1596,248,1084
22.0,0,0,0,0,300,1416,296,924
22.5,0,0,0,0,256,1292,200,1040
23.0,0,0,0,0,212,1112,224,716
23.5,0,0,0,0,156,968,136,760
24.0,-,0,-,0,20,564,16,376
24.5,-,0,-,0,0,288,0,196
