Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,291,66,456,112
5.5,0,0,0,0,776,221,752,378
6.0,0,0,0,0,1519,320,900,314
6.5,1,0,0,0,2414,670,1308,676
7.0,1,0,0,0,3759,994,1732,800
7.5,1,0,0,0,6519,1558,2394,908
8.0,2,0,0,0,7694,2139,2772,1554
8.5,1,0,0,0,5384,2662,2676,1674
9.0,1,0,0,0,3977,1796,2916,1762
9.5,0,0,0,0,2540,1512,2842,2144
10.0,0,0,0,0,2374,1067,3264,1928
10.5,0,0,0,0,1464,1004,2708,2062
11.0,0,0,0,0,1239,806,2788,2042
11.5,0,0,0,0,1176,917,2696,2140
12.0,0,0,0,0,1776,1188,3042,2224
12.5,0,0,0,0,1826,1583,2880,2532
13.0,0,0,0,0,1453,1385,2532,2198
13.5,0,0,0,0,1103,1025,2516,2288
14.0,0,0,0,0,1243,992,2472,2132
14.5,0,0,0,0,1209,1213,2318,2268
15.0,0,0,0,0,1120,1247,2288,2382
15.5,0,0,0,0,1096,1331,2208,2476
16.0,0,0,0,0,1396,1556,2480,2600
16.5,0,0,0,0,1580,2456,2390,3472
17.0,0,0,0,0,1822,2881,2564,3372
17.5,0,0,0,0,1944,3950,2434,3268
18.0,0,1,0,0,2075,4644,2268,3056
18.5,0,0,0,0,1761,4773,1926,2852
19.0,0,0,0,0,1542,3697,1840,2368
19.5,0,0,0,0,1239,3298,1572,2208
20.0,0,0,0,0,1122,2626,1592,1836
20.5,0,0,0,0,1021,2308,1556,1836
21.0,0,0,0,0,1134,2097,1690,1920
21.5,0,0,0,0,1028,1946,1572,2076
22.0,0,0,0,0,951,1619,1534,1804
22.5,0,0,0,0,749,1344,1386,1606
23.0,0,0,0,0,755,981,1336,1080
23.5,0,0,0,0,645,912,1036,1064
24.0,-,0,-,0,114,506,176,616
24.5,-,-,-,-,2,79,2,136
