Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,190,90,340,172
5.5,0,0,0,0,230,228,272,372
6.0,0,0,0,0,382,284,388,324
6.5,1,0,0,0,652,514,504,488
7.0,1,0,0,0,1286,852,784,720
7.5,1,0,0,0,2056,1758,1092,1160
8.0,2,0,0,0,2722,3484,1456,2104
8.5,1,0,0,0,2284,4554,1580,2736
9.0,1,0,0,0,1726,2192,1864,2036
9.5,0,0,0,0,1144,2664,1880,2512
10.0,0,0,0,0,1112,3886,2192,3112
10.5,0,0,0,0,1194,2300,2180,2652
11.0,0,0,0,0,906,1152,2192,2192
11.5,0,0,0,0,1152,1260,2248,2824
12.0,0,0,0,0,1860,1582,2844,3288
12.5,0,0,0,0,1988,3050,2816,3808
13.0,0,0,0,0,1504,1746,2428,2632
13.5,0,0,0,0,1210,1276,2472,2272
14.0,0,0,0,0,1508,1278,2456,2160
14.5,0,0,0,0,1966,2070,2344,2820
15.0,0,0,0,0,1900,1158,2624,1752
15.5,0,0,0,0,1626,1094,2688,1852
16.0,0,0,0,0,2382,1150,3272,1888
16.5,0,0,0,0,3310,1586,5508,2152
17.0,0,1,0,0,3112,1252,4064,1924
17.5,0,1,0,0,3018,1606,2872,2048
18.0,0,1,0,0,3500,1802,2744,1608
18.5,0,1,0,0,3092,1934,2048,1800
19.0,0,1,0,0,2232,1512,2136,1316
19.5,0,1,0,0,1558,1456,1492,1400
20.0,0,0,0,0,1408,1168,1564,1472
20.5,0,0,0,0,1332,1080,1424,1544
21.0,0,0,0,0,1286,1094,1472,1568
21.5,0,0,0,0,1274,1012,1568,1384
22.0,0,0,0,0,1174,986,1496,1604
22.5,0,0,0,0,540,850,800,1440
23.0,0,0,0,0,482,752,616,1312
23.5,0,0,0,0,384,600,536,952
24.0,0,0,0,0,76,564,128,704
24.5,-,-,-,-,4,8,8,72
