Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,232,108,164,72
5.5,0,0,0,0,324,284,248,192
6.0,0,0,0,0,548,484,272,184
6.5,0,0,0,0,1100,1040,428,256
7.0,1,0,0,0,2100,2028,564,484
7.5,1,0,0,0,3300,3076,864,592
8.0,2,0,0,0,4672,4564,1096,852
8.5,1,0,0,0,3768,5136,1096,1040
9.0,1,0,0,0,2932,3836,1408,1120
9.5,0,0,0,0,1912,3436,1340,1448
10.0,0,0,0,0,1540,1736,1492,1088
10.5,0,0,0,0,1240,1764,1408,1492
11.0,0,0,0,0,1316,1320,1580,1580
11.5,0,0,0,0,1276,1460,1480,1880
12.0,0,0,0,0,1712,1376,1648,1788
12.5,0,0,0,0,1472,1760,1648,1860
13.0,0,0,0,0,1340,1396,1512,1580
13.5,0,0,0,0,1204,1436,1624,1800
14.0,0,0,0,0,1232,1148,1548,1352
14.5,0,0,0,0,1144,1340,1516,1480
15.0,0,0,0,0,1396,1260,1624,1480
15.5,0,0,0,0,1256,1464,1640,1648
16.0,0,0,0,0,1704,1540,2024,1512
16.5,0,0,0,0,1964,2004,1660,1856
17.0,0,1,0,0,3004,2292,1916,1976
17.5,0,1,0,0,4068,3328,1560,2168
18.0,0,1,0,0,4648,3668,1512,1884
18.5,0,1,0,0,3392,3932,1216,1596
19.0,0,1,0,0,3212,3176,1168,1440
19.5,0,1,0,0,2560,2980,864,1304
20.0,0,0,0,0,2272,2264,932,1040
20.5,0,0,0,0,1940,1972,1000,1040
21.0,0,0,0,0,1872,1704,864,1080
21.5,0,0,0,0,1576,1592,788,1108
22.0,0,0,0,0,1376,1432,808,984
22.5,0,0,0,0,1068,1276,608,908
23.0,0,0,0,0,944,1044,564,784
23.5,0,0,0,0,732,860,456,592
24.0,0,0,0,0,216,648,128,440
24.5,-,-,-,-,4,8,0,16
