Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,164,160,243,176
5.5,0,0,0,0,329,400,355,372
6.0,0,0,0,0,569,768,479,525
6.5,1,0,0,0,1022,1467,675,805
7.0,1,0,0,0,1640,2446,918,1215
7.5,1,0,0,0,2789,4283,1210,1656
8.0,2,0,0,0,3684,6144,1573,2012
8.5,1,0,0,0,3022,6150,1435,2084
9.0,1,0,0,0,2286,3883,1640,2248
9.5,0,0,0,0,1552,2841,1659,2236
10.0,0,0,0,0,1277,1752,1696,2012
10.5,0,0,0,0,1042,1410,1758,2028
11.0,0,0,0,0,933,1129,1754,2264
11.5,0,0,0,0,973,1113,1799,2282
12.0,0,0,0,0,1344,1350,2049,2285
12.5,0,0,0,0,1434,1660,2055,2446
13.0,0,0,0,0,1204,1320,1977,2150
13.5,0,0,0,0,1024,1188,1982,2094
14.0,0,0,0,0,1106,1062,1841,1861
14.5,0,0,0,0,1132,1202,1952,1880
15.0,0,0,0,0,1273,1121,1995,1840
15.5,0,0,0,0,1276,1244,2009,1936
16.0,0,0,0,0,1732,1322,2230,2026
16.5,0,0,0,0,1985,1687,2298,2312
17.0,0,1,0,0,2692,1974,2506,2306
17.5,0,1,0,0,3850,2729,2202,2286
18.0,0,1,0,0,4206,2996,2085,1906
18.5,0,1,0,0,3512,2672,1784,1740
19.0,0,1,0,0,3013,2109,1738,1430
19.5,0,1,0,0,2596,1804,1504,1258
20.0,0,0,0,0,2235,1374,1507,1223
20.5,0,0,0,0,1983,1161,1570,1114
21.0,0,1,0,0,1974,996,1612,1223
21.5,0,0,0,0,1722,969,1529,1012
22.0,0,0,0,0,1612,765,1464,1022
22.5,0,0,0,0,1267,631,1288,752
23.0,0,0,0,0,1130,509,1072,631
23.5,0,1,0,0,907,393,986,552
24.0,0,0,0,0,265,156,224,212
24.5,-,-,-,-,1,5,2,5
