Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,40,62,40,30
5.5,0,0,0,0,58,324,40,132
6.0,0,0,0,0,78,534,34,262
6.5,1,0,0,0,130,1168,60,1460
7.0,1,0,0,0,232,1990,112,1564
7.5,1,0,0,0,304,3926,144,1492
8.0,2,1,0,0,466,6456,168,1130
8.5,1,0,0,0,434,7694,208,1214
9.0,1,0,0,0,490,4964,278,1162
9.5,0,0,0,0,556,3870,336,1424
10.0,0,0,0,0,636,2886,408,1210
10.5,0,0,0,0,838,2070,580,1304
11.0,0,0,0,0,784,1066,676,1048
11.5,0,0,0,0,944,1106,816,984
12.0,0,0,0,0,1242,1404,1000,1040
12.5,0,1,0,0,1228,2058,1228,1168
13.0,0,0,0,0,1002,1278,1060,1026
13.5,0,0,0,0,944,1216,1280,892
14.0,0,0,0,0,1200,1200,1302,864
14.5,0,0,0,0,1434,1198,1368,700
15.0,0,0,0,0,1338,990,1448,492
15.5,0,0,0,0,1480,1216,1340,484
16.0,1,0,0,0,2626,1252,1384,382
16.5,0,0,0,0,2496,1310,1940,376
17.0,1,1,0,0,3156,1478,1474,356
17.5,1,1,0,0,3916,2354,1060,304
18.0,1,1,0,0,4504,3582,746,254
18.5,1,1,0,0,3084,2078,442,212
19.0,1,1,0,0,2778,850,384,172
19.5,0,1,0,0,3204,466,296,176
20.0,0,1,0,0,2440,316,388,148
20.5,0,0,0,0,2002,222,252,138
21.0,0,1,0,0,2812,204,208,144
21.5,0,0,0,0,4034,190,196,168
22.0,0,0,0,0,1320,158,208,154
22.5,0,0,0,0,710,150,132,96
23.0,0,0,0,0,616,136,128,92
23.5,0,1,0,0,408,92,120,76
24.0,0,0,0,0,122,74,28,76
24.5,-,-,-,-,0,8,0,4
