Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,16,44,16,16
5.5,0,0,0,0,12,274,24,144
6.0,0,0,0,0,52,436,112,176
6.5,1,0,0,0,46,708,56,320
7.0,1,0,0,0,70,1540,72,480
7.5,1,1,0,0,110,3070,88,896
8.0,2,1,0,0,154,4786,164,1456
8.5,1,1,0,0,198,7776,240,1360
9.0,1,0,0,0,272,6300,272,1712
9.5,0,0,0,0,310,3736,308,2552
10.0,0,0,0,0,406,1602,408,2120
10.5,0,0,0,0,498,1506,656,2456
11.0,0,0,0,0,568,1010,848,1992
11.5,0,0,0,0,690,882,1032,1872
12.0,0,0,0,0,938,916,1208,1564
12.5,0,1,0,0,960,1364,1472,2016
13.0,0,0,0,0,880,1086,1524,1852
13.5,0,0,0,0,760,952,1492,2008
14.0,0,0,0,0,898,728,1316,1600
14.5,0,0,0,0,922,784,1648,1632
15.0,0,0,0,0,1168,680,1892,1272
15.5,0,0,0,0,1144,626,2044,1032
16.0,1,0,0,0,1520,448,2432,780
16.5,1,0,0,1,1528,500,2312,704
17.0,1,1,0,0,2650,444,2408,504
17.5,1,1,0,0,4006,404,2088,392
18.0,1,1,0,0,4270,312,1420,212
18.5,1,1,0,0,3246,268,660,184
19.0,1,1,0,0,2730,182,696,176
19.5,1,1,0,0,2104,116,552,112
20.0,0,1,0,0,1864,102,672,144
20.5,0,0,0,0,1480,92,408,176
21.0,0,0,0,0,1338,76,376,108
21.5,0,0,0,0,1052,144,264,248
22.0,0,0,0,0,890,146,200,272
22.5,0,0,0,0,570,70,140,120
23.0,0,0,0,0,536,38,252,56
23.5,0,1,0,0,318,22,104,32
24.0,0,0,0,0,70,24,16,32
24.5,-,-,-,-,0,2,0,0
