Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,1,0,0,234,132,424,168
5.5,0,0,0,0,274,238,456,304
6.0,0,1,0,1,464,522,540,480
6.5,1,1,0,1,858,1324,684,704
7.0,1,2,1,1,1632,2280,1072,1000
7.5,1,3,0,0,2364,3442,1304,1384
8.0,1,3,1,1,3200,5464,1624,1572
8.5,1,2,0,1,2506,4492,1868,1904
9.0,0,2,0,1,1948,2694,2172,2020
9.5,0,1,0,1,1342,2088,2200,1888
10.0,0,1,0,1,1078,1142,2400,1472
10.5,0,1,0,1,914,952,2360,1960
11.0,0,1,0,1,852,742,2412,1728
11.5,0,1,0,1,956,878,2496,2036
12.0,0,1,0,1,1220,894,2696,1720
12.5,1,1,1,1,1068,1184,2376,2284
13.0,1,1,0,1,1008,958,2320,2056
13.5,1,1,0,1,874,962,2252,1952
14.0,1,1,1,1,932,836,2228,1988
14.5,1,0,1,0,880,930,2072,2276
15.0,1,1,1,1,1014,882,2272,2072
15.5,1,0,1,1,1038,1038,2228,2324
16.0,1,0,1,1,1364,980,2384,2324
16.5,1,1,1,1,1556,1354,2568,2920
17.0,1,1,1,1,2932,1448,2764,2496
17.5,2,1,1,1,3952,2310,2712,2928
18.0,2,1,1,0,3724,2364,2332,2584
18.5,2,1,1,0,3052,2572,2108,2512
19.0,2,1,1,0,2786,2026,1992,2112
19.5,2,1,1,0,2142,1844,1440,2016
20.0,1,0,1,0,1918,1602,1560,1768
20.5,2,0,1,0,1696,1354,1604,1792
21.0,1,0,1,0,1636,1240,1704,1720
21.5,1,0,1,0,1420,1152,1576,1944
22.0,1,0,1,0,1426,1028,1664,1480
22.5,1,0,1,0,1098,932,1256,1592
23.0,1,0,1,0,1142,710,1340,1160
23.5,1,0,1,0,786,752,1000,1200
24.0,1,0,1,0,290,544,432,916
24.5,-,-,-,-,4,6,8,12
