Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,1,0,0,135,55,376,160
5.5,0,0,0,0,171,132,396,416
6.0,0,1,0,1,318,411,628,720
6.5,0,1,0,1,635,847,836,832
7.0,1,2,0,1,966,1713,1088,1164
7.5,1,3,0,0,1394,2678,1424,1432
8.0,1,3,0,1,1646,3537,1608,1588
8.5,1,2,0,1,1304,3451,1792,1992
9.0,0,2,0,1,1002,1585,2368,1984
9.5,0,1,0,1,663,1164,2136,1772
10.0,0,1,0,1,575,527,2232,1328
10.5,0,1,0,1,439,513,2200,1544
11.0,0,1,0,1,509,421,2136,1408
11.5,0,1,0,1,493,406,1912,1656
12.0,0,1,0,1,647,411,2072,1528
12.5,1,1,1,1,549,578,2100,1712
13.0,1,1,0,1,483,519,2248,1768
13.5,0,1,0,1,398,494,2040,1728
14.0,0,1,0,1,463,378,1772,1552
14.5,1,0,1,0,469,450,1888,1816
15.0,1,1,1,1,575,423,1948,1888
15.5,1,0,1,1,551,478,1932,1920
16.0,1,0,1,1,803,470,2200,1808
16.5,1,1,1,1,1029,580,2012,2016
17.0,1,1,1,1,1704,633,2348,2188
17.5,2,1,1,1,2248,871,2128,2276
18.0,2,1,1,0,2435,986,2168,1980
18.5,2,1,1,0,1995,1026,2176,2184
19.0,2,1,1,0,1771,889,1656,1720
19.5,2,1,1,0,1370,836,1540,1528
20.0,1,0,1,0,1141,730,1208,1568
20.5,1,0,1,0,820,665,960,1564
21.0,1,0,1,0,692,603,1136,1624
21.5,1,0,1,0,554,551,864,1660
22.0,1,0,1,0,485,559,956,1640
22.5,1,0,1,0,373,465,816,1616
23.0,1,0,1,0,284,380,720,1120
23.5,1,0,1,0,147,383,448,1148
24.0,1,0,1,0,54,268,172,852
24.5,-,-,-,-,0,0,0,0
