Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,1,0,0,212,51,536,104
5.5,0,1,0,0,286,307,576,544
6.0,0,1,0,1,485,686,1020,820
6.5,0,1,0,1,788,1528,1360,1364
7.0,0,2,0,1,1180,2681,1512,1900
7.5,0,3,0,0,1547,4479,1780,2688
8.0,0,3,0,1,1941,7297,2216,3396
8.5,0,2,0,1,1414,7083,2376,3272
9.0,0,2,0,1,1194,3133,2828,2712
9.5,0,1,0,1,880,2105,2792,2192
10.0,0,1,0,1,836,843,2984,1744
10.5,0,1,0,1,715,806,2960,1856
11.0,0,1,0,1,769,588,2892,1824
11.5,0,1,0,1,813,680,2688,2100
12.0,0,1,0,1,1101,735,2876,2408
12.5,0,1,0,1,822,1000,2648,2744
13.0,0,1,0,1,773,785,2680,2368
13.5,0,0,0,1,639,773,2196,2168
14.0,0,0,0,1,743,631,2152,2136
14.5,0,0,0,0,716,703,2104,2192
15.0,1,1,1,1,949,647,2360,2156
15.5,1,0,1,1,1028,699,2408,2292
16.0,1,0,1,1,1745,682,2888,2232
16.5,1,1,1,1,1941,817,2704,2552
17.0,2,1,1,1,3823,873,3484,2716
17.5,2,1,1,0,5041,1172,2816,2688
18.0,2,1,1,0,4338,1320,2848,2464
18.5,2,1,1,0,3103,1262,2032,2336
19.0,2,0,1,0,2524,1076,2032,1960
19.5,2,0,1,0,1975,977,1532,2096
20.0,1,0,1,0,1647,847,1528,2020
20.5,2,0,1,0,1200,831,1288,1944
21.0,1,0,1,0,1045,732,1368,1804
21.5,1,0,1,0,897,608,1460,1832
22.0,1,0,1,0,893,601,1320,1888
22.5,1,0,1,0,570,522,932,1596
23.0,1,0,1,0,448,421,936,1152
23.5,1,0,1,0,244,313,552,1016
24.0,1,0,1,0,74,311,176,928
24.5,-,-,-,-,3,40,8,128
