Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,2,0,0,562,74,772,88
5.5,0,1,0,1,694,368,736,524
6.0,0,2,0,1,1184,684,1304,676
6.5,0,1,0,1,1822,1310,1312,1032
7.0,0,2,0,1,2606,2344,1596,1680
7.5,0,3,0,1,3536,3380,1852,1800
8.0,0,3,0,1,3976,3978,2168,2064
8.5,0,2,0,1,2760,3162,2296,2076
9.0,0,2,0,1,2196,1704,2688,1484
9.5,0,1,0,1,1416,1312,2216,1600
10.0,0,1,0,1,1058,646,2368,1204
10.5,0,1,0,1,826,740,2192,1356
11.0,0,1,0,1,844,682,1968,1244
11.5,0,1,0,1,808,682,1920,1380
12.0,0,1,1,1,1100,910,2064,1564
12.5,0,1,0,1,808,948,1984,1560
13.0,1,1,0,1,770,860,1956,1576
13.5,0,1,0,1,644,714,1800,1776
14.0,0,0,0,1,686,676,1768,1592
14.5,0,0,1,1,660,754,1664,1944
15.0,1,0,1,1,814,798,1680,1864
15.5,1,0,1,1,808,876,1648,1904
16.0,1,0,1,1,1092,964,2176,1944
16.5,1,1,1,1,1386,1272,2068,2088
17.0,1,1,1,1,2326,1354,2412,2216
17.5,2,0,1,1,2888,1920,2320,2240
18.0,2,1,1,1,2966,2298,2468,2264
18.5,2,1,1,0,2266,2538,1776,2112
19.0,2,0,1,0,2110,2240,1928,2064
19.5,1,0,1,0,1434,1798,1452,1912
20.0,1,0,1,0,1346,1788,1272,1760
20.5,1,0,1,0,894,1314,1000,1744
21.0,1,0,1,0,852,1442,1192,1848
21.5,1,0,1,0,642,1224,1000,1772
22.0,1,0,1,0,678,1196,864,1856
22.5,1,0,1,0,350,1046,656,1528
23.0,1,0,1,0,318,816,516,1184
23.5,1,0,1,0,172,778,316,1012
24.0,1,0,1,0,60,618,112,1112
24.5,-,-,-,-,2,100,0,248
