Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,2,0,0,412,34,528,88
5.5,0,1,0,1,531,152,522,260
6.0,0,1,0,1,938,233,732,364
6.5,0,1,0,1,1955,397,1168,430
7.0,0,2,0,0,2797,719,1520,498
7.5,0,3,0,1,3814,1177,1850,1152
8.0,0,3,0,1,3838,1729,2108,2688
8.5,0,2,0,1,2689,2168,2164,2962
9.0,0,1,0,1,2124,1109,2514,1994
9.5,0,1,0,1,1368,878,2216,1880
10.0,0,1,0,1,1149,606,2456,1428
10.5,0,1,0,1,838,602,2300,1570
11.0,0,0,0,1,822,503,2388,1542
11.5,0,1,0,1,800,557,2304,1636
12.0,0,1,0,1,1100,645,2468,1664
12.5,0,1,0,1,923,887,2368,1764
13.0,0,0,0,1,764,770,2324,1624
13.5,0,0,0,1,654,695,2066,1748
14.0,0,0,0,0,676,637,2096,1618
14.5,0,0,0,0,726,722,1968,1776
15.0,0,0,0,1,744,752,2216,1706
15.5,1,0,0,1,677,871,2088,1896
16.0,1,0,1,1,1008,1037,2360,1908
16.5,1,0,0,1,1130,1359,2224,2180
17.0,1,0,1,0,1264,1568,2344,2260
17.5,1,0,1,0,1318,2283,1960,2248
18.0,1,0,1,0,1330,2633,1748,2276
18.5,1,0,1,0,1103,2552,1544,2124
19.0,1,0,1,0,978,2388,1472,1928
19.5,1,0,1,0,819,2126,1226,1790
20.0,1,0,1,0,735,1802,1044,2172
20.5,1,0,1,0,569,1517,968,1728
21.0,1,0,1,0,570,1183,862,1688
21.5,1,0,1,0,447,1494,712,1940
22.0,1,0,1,0,435,1137,652,1820
22.5,1,0,1,0,308,1138,564,1634
23.0,0,0,1,0,255,836,426,1400
23.5,1,0,0,0,157,863,296,1128
24.0,0,0,0,0,78,632,140,884
24.5,-,-,-,-,1,191,0,450
