Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,1,0,0,453,67,1072,280
5.5,0,1,0,0,557,202,1156,740
6.0,0,1,0,1,1178,273,1784,992
6.5,0,1,0,1,2261,469,2756,960
7.0,0,2,0,0,3119,714,3420,1324
7.5,0,2,0,1,4422,1142,4216,1720
8.0,0,2,0,1,4312,1214,4840,2064
8.5,0,1,0,1,2759,1432,4992,2664
9.0,0,1,0,1,2198,802,5428,2584
9.5,0,1,0,1,1385,635,4840,2408
10.0,0,1,0,1,1113,430,5096,2156
10.5,0,1,0,1,861,434,4788,2200
11.0,0,0,0,1,856,498,4740,2336
11.5,0,0,0,1,845,457,4332,2256
12.0,0,1,0,1,1004,508,4560,2476
12.5,0,0,0,0,849,643,3796,2808
13.0,0,0,0,0,717,638,4040,2760
13.5,0,0,0,1,566,591,3416,2808
14.0,0,0,0,0,597,508,3360,2624
14.5,0,0,0,0,547,609,3192,2860
15.0,0,0,0,0,609,675,3524,2996
15.5,0,0,0,0,611,770,3200,3128
16.0,0,0,0,1,756,854,3528,3528
16.5,1,0,0,0,845,1209,3376,3996
17.0,1,0,1,0,1088,1321,3712,3904
17.5,1,0,1,0,1207,2293,3124,4608
18.0,1,0,1,0,1213,2485,2888,4844
18.5,1,0,1,0,961,2912,2440,4736
19.0,1,0,0,0,805,2239,2416,3656
19.5,1,0,0,0,651,2397,1956,4552
20.0,1,0,1,0,565,1746,1744,3876
20.5,1,0,1,0,460,1878,1540,4440
21.0,1,0,1,0,460,1332,1608,4120
21.5,1,0,1,0,399,1590,1576,4260
22.0,0,0,0,0,371,1193,1452,4216
22.5,0,0,1,0,287,1288,1144,3840
23.0,0,0,1,0,226,893,908,3252
23.5,0,0,0,0,134,1036,624,3068
24.0,0,0,0,0,78,779,256,2288
24.5,0,-,0,-,4,288,8,1064
