Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,1,0,0,398,50,948,208
5.5,0,1,0,0,444,122,880,700
6.0,0,1,0,1,1149,205,1456,680
6.5,0,1,0,1,1682,350,2116,808
7.0,0,2,0,0,2694,544,2952,1024
7.5,0,2,0,0,4026,884,3704,1376
8.0,0,2,0,1,3563,945,4360,1620
8.5,0,1,0,1,2315,735,4416,1776
9.0,0,1,0,1,1731,536,4684,1668
9.5,0,1,0,1,1178,457,3992,1664
10.0,0,1,0,0,911,366,4200,1620
10.5,0,1,0,0,717,342,4104,1720
11.0,0,0,0,1,721,347,3992,1760
11.5,0,0,0,0,728,392,3736,1872
12.0,0,0,0,1,774,403,3772,1820
12.5,0,0,0,0,666,477,3392,2200
13.0,0,0,0,0,586,478,3260,2176
13.5,0,0,0,0,497,476,2992,2392
14.0,0,0,0,1,454,441,2760,2440
14.5,0,0,0,0,462,485,2672,2504
15.0,0,0,0,0,508,562,2776,2464
15.5,0,0,0,0,489,673,2632,2960
16.0,0,0,0,0,583,754,3000,3096
16.5,1,0,0,0,600,978,2984,3232
17.0,1,0,0,0,845,1419,3288,3848
17.5,1,0,1,0,894,1698,2584,3924
18.0,1,0,1,0,889,2347,2376,4080
18.5,1,0,1,0,745,2488,1960,4400
19.0,1,0,0,0,650,2420,1812,3876
19.5,1,0,1,0,542,1871,1580,3948
20.0,1,0,1,0,448,1801,1392,3528
20.5,1,0,1,0,388,1511,1368,3344
21.0,1,0,0,0,369,1320,1176,3576
21.5,1,0,1,0,314,1276,1128,3536
22.0,1,0,1,0,274,1171,1024,3680
22.5,0,0,0,0,255,1085,980,3776
23.0,0,0,0,0,235,940,876,2848
23.5,0,0,0,0,140,788,504,2696
24.0,0,0,0,0,76,666,272,2320
24.5,0,-,0,-,6,240,8,840
