Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,1,0,0,698,44,696,116
5.5,0,1,0,0,802,142,784,456
6.0,0,1,0,0,1602,208,1320,420
6.5,0,1,0,1,2762,312,1808,536
7.0,0,1,0,0,4270,438,2272,608
7.5,0,2,0,0,6176,774,2784,880
8.0,0,2,0,1,5020,866,3020,776
8.5,0,1,0,1,3228,776,3072,1128
9.0,0,1,0,1,2342,578,3088,1280
9.5,0,0,0,0,1460,586,2912,1240
10.0,0,0,0,0,1148,388,2880,944
10.5,0,0,0,0,900,424,2544,1120
11.0,0,0,0,1,884,422,2648,1008
11.5,0,0,0,0,908,466,2252,1160
12.0,0,0,0,0,990,496,2520,1152
12.5,0,0,0,0,800,602,2184,1384
13.0,0,0,0,0,704,602,2132,1320
13.5,0,0,0,0,628,612,1988,1600
14.0,0,0,0,0,578,560,1888,1552
14.5,0,0,0,0,546,600,1696,1568
15.0,0,0,0,0,596,720,1672,1732
15.5,0,0,0,0,572,882,1712,1876
16.0,0,0,0,0,714,940,1744,2032
16.5,1,0,0,0,700,1414,1752,2312
17.0,1,0,0,0,952,1522,1804,2608
17.5,1,0,0,0,916,2634,1632,2816
18.0,1,0,1,0,892,3232,1584,2696
18.5,1,0,1,0,800,3556,1504,2816
19.0,1,0,0,0,660,2862,1168,2544
19.5,1,0,0,0,556,3042,1024,2300
20.0,1,0,0,0,482,2158,876,2576
20.5,1,0,0,0,390,2222,812,2372
21.0,1,0,0,0,380,1720,872,2456
21.5,0,0,0,0,302,1824,600,2500
22.0,0,0,0,0,266,1454,488,2340
22.5,0,0,0,0,198,1668,360,2248
23.0,0,0,0,0,144,1004,296,2128
23.5,0,0,0,0,100,1190,244,1744
24.0,0,0,0,0,64,930,140,1664
24.5,0,-,0,-,4,346,8,512
