Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,1,0,0,648,62,712,144
5.5,0,1,0,0,728,130,708,356
6.0,0,1,0,0,1642,260,1232,428
6.5,0,1,0,1,2702,360,1684,536
7.0,0,1,0,0,4350,566,2380,684
7.5,0,1,0,1,6244,852,2928,924
8.0,0,1,0,1,4790,1346,3180,1328
8.5,0,1,0,0,3106,1060,3168,1280
9.0,0,1,0,0,2310,724,3204,1204
9.5,0,0,0,0,1606,706,2760,1312
10.0,0,0,0,0,1196,532,2960,1104
10.5,0,0,0,0,994,506,2744,1240
11.0,0,0,0,0,930,586,2640,1272
11.5,0,0,0,0,964,572,2584,1328
12.0,0,0,0,0,1090,604,2644,1408
12.5,0,0,0,0,842,722,2456,1688
13.0,0,0,0,0,800,726,2328,1504
13.5,0,0,0,0,692,690,1952,1716
14.0,0,0,0,0,646,686,1968,1680
14.5,0,0,0,0,622,736,1888,1768
15.0,0,0,0,0,672,832,1900,1840
15.5,0,0,0,0,694,994,1940,2168
16.0,0,0,0,0,880,1014,2128,2080
16.5,0,0,0,0,832,1510,1872,2504
17.0,1,0,0,0,1114,1700,2072,2888
17.5,1,0,0,0,1204,2518,1796,3056
18.0,1,0,0,0,1174,3244,1704,3264
18.5,1,0,0,0,980,4078,1488,2860
19.0,1,0,0,0,870,3240,1388,3008
19.5,1,0,0,0,728,2844,1136,2464
20.0,0,0,0,0,616,2472,1096,2664
20.5,0,0,0,0,486,2338,888,2408
21.0,0,0,0,0,434,1882,928,2616
21.5,0,0,0,0,366,1754,720,2584
22.0,0,0,0,0,366,1566,728,2532
22.5,0,0,0,0,306,1538,608,2432
23.0,0,0,0,0,222,1206,584,2232
23.5,0,0,0,0,172,1186,392,1812
24.0,0,0,0,0,92,984,228,1608
24.5,0,-,0,-,6,414,16,592
