Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,388,36,412,112
5.5,0,1,0,0,670,80,664,208
6.0,0,1,0,0,1818,172,872,368
6.5,0,1,0,0,2922,248,1420,392
7.0,0,1,0,0,4932,380,2152,452
7.5,0,1,0,0,6400,674,2428,700
8.0,0,1,0,1,4502,786,2808,1088
8.5,0,1,0,0,2618,650,2680,1116
9.0,0,0,0,0,1888,510,2640,1040
9.5,0,0,0,0,1226,446,2680,1168
10.0,0,0,0,0,980,376,2512,1052
10.5,0,0,0,0,762,408,2472,1316
11.0,0,0,0,0,772,432,2416,1348
11.5,0,0,0,0,848,478,2340,1376
12.0,0,0,0,0,882,496,2308,1408
12.5,0,0,0,0,666,626,1792,1520
13.0,0,0,0,0,608,718,2088,1712
13.5,0,0,0,0,508,672,1756,1792
14.0,0,0,0,0,510,644,1772,1836
14.5,0,0,0,0,498,642,1784,1916
15.0,0,0,0,0,566,736,1760,1728
15.5,0,0,0,0,546,810,1848,1992
16.0,0,0,0,0,658,944,1772,2100
16.5,0,0,0,0,610,1244,2040,2192
17.0,0,0,0,0,848,1740,1916,2272
17.5,0,0,0,0,748,2138,1680,2648
18.0,0,0,0,0,808,2956,1712,2592
18.5,0,0,0,0,712,3174,1272,2604
19.0,0,0,0,0,666,2824,1136,2296
19.5,0,0,0,0,524,2796,920,2620
20.0,0,0,0,0,474,2294,888,2072
20.5,0,0,0,0,418,1894,856,1952
21.0,0,0,0,0,368,1806,768,1948
21.5,0,0,0,0,322,1448,608,1896
22.0,0,0,0,0,290,1502,552,1800
22.5,0,0,0,0,226,1150,384,1804
23.0,0,0,0,0,192,1022,508,1492
23.5,0,0,0,0,142,808,400,1224
24.0,0,0,0,0,46,774,128,976
24.5,0,-,-,-,0,344,0,744
