Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,636,140,368,144
5.5,0,0,0,0,1008,240,412,216
6.0,0,1,0,0,2312,380,688,296
6.5,0,1,0,0,3080,588,984,352
7.0,0,1,0,0,5136,1336,1212,416
7.5,0,1,0,0,6656,1988,1608,616
8.0,0,1,0,1,4932,2064,1708,796
8.5,0,1,0,0,2844,1176,1764,544
9.0,0,0,0,0,2284,588,1704,416
9.5,0,0,0,0,1636,524,1792,448
10.0,0,0,0,0,1116,392,1520,400
10.5,0,0,0,0,1000,524,1432,488
11.0,0,0,0,0,932,368,1272,528
11.5,0,0,0,0,972,524,1308,592
12.0,0,0,0,0,1076,592,1192,636
12.5,0,0,0,0,876,744,1100,732
13.0,0,0,0,0,764,752,1096,760
13.5,0,0,0,0,720,712,1040,820
14.0,0,0,0,0,628,620,864,688
14.5,0,0,0,0,588,664,880,808
15.0,0,0,0,0,620,672,944,832
15.5,0,0,0,0,712,956,840,968
16.0,0,0,0,0,868,1124,920,952
16.5,0,0,0,0,952,1460,936,1076
17.0,0,0,0,0,1704,1920,972,1392
17.5,0,0,0,0,1660,2480,848,1504
18.0,0,0,0,0,1740,3416,908,1448
18.5,0,0,0,0,1184,3332,784,1488
19.0,0,0,0,0,920,3548,540,1412
19.5,0,0,0,0,720,2904,508,1340
20.0,0,0,0,0,524,2496,360,1272
20.5,0,0,0,0,452,2100,308,1332
21.0,0,0,0,0,360,2128,308,1336
21.5,0,0,0,0,252,1564,232,1288
22.0,0,0,0,0,280,1856,232,1148
22.5,0,0,0,0,188,1436,176,1264
23.0,0,0,0,0,132,1212,164,888
23.5,0,0,0,0,84,1064,80,952
24.0,0,0,0,0,44,820,68,720
24.5,0,-,-,-,8,296,0,172
