Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,494,28,496,72
5.5,0,0,0,0,862,104,648,304
6.0,0,0,0,0,1636,160,1120,240
6.5,1,0,0,0,2378,256,1352,368
7.0,1,0,0,0,3676,424,1836,432
7.5,1,0,0,0,5184,740,2504,512
8.0,1,0,0,0,4664,910,2872,744
8.5,1,0,0,0,3286,940,3048,884
9.0,1,0,0,0,2324,420,3000,632
9.5,1,0,0,0,1578,450,2576,712
10.0,0,0,0,0,1258,308,2928,736
10.5,0,0,0,0,962,352,2672,744
11.0,0,0,0,0,868,342,2376,712
11.5,0,0,0,0,998,380,2348,924
12.0,0,0,0,0,1100,408,2248,980
12.5,0,0,0,0,780,570,2056,1072
13.0,0,0,0,0,698,598,1964,1320
13.5,0,0,0,0,598,588,1708,1180
14.0,0,0,0,0,558,508,1888,1424
14.5,0,0,0,0,492,564,1516,1264
15.0,0,0,0,0,506,700,1544,1536
15.5,0,0,0,0,490,794,1448,1712
16.0,0,0,0,0,592,920,1648,1832
16.5,0,0,0,0,580,1230,1424,2120
17.0,0,0,0,0,856,1598,1536,2144
17.5,0,0,0,0,900,1936,1144,2632
18.0,0,0,0,0,882,2714,1184,2360
18.5,0,0,0,0,708,3130,928,2828
19.0,0,0,0,0,574,3138,752,2476
19.5,0,0,0,0,446,2540,540,2208
20.0,0,0,0,0,350,2580,464,2536
20.5,0,0,0,0,302,2062,472,2140
21.0,0,0,0,0,290,1946,488,2280
21.5,0,0,0,0,242,1764,432,2168
22.0,0,0,0,0,206,1306,344,2528
22.5,0,0,0,0,154,1466,276,1840
23.0,0,0,0,0,130,1256,216,1880
23.5,0,0,0,0,82,992,160,1600
24.0,-,0,-,0,16,928,56,1584
24.5,-,-,-,-,2,232,4,204
