Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,490,32,520,72
5.5,0,0,0,0,776,88,648,248
6.0,0,0,0,0,1228,138,936,252
6.5,0,0,0,0,2060,180,1232,288
7.0,1,0,0,0,3488,244,1848,312
7.5,1,0,0,0,4700,388,2280,336
8.0,1,0,0,0,4586,540,2720,512
8.5,1,0,0,0,3178,420,2704,568
9.0,1,0,0,0,2292,278,2992,448
9.5,1,0,0,0,1422,286,2520,544
10.0,0,0,0,0,1192,238,2680,568
10.5,0,0,0,0,874,260,2516,668
11.0,0,0,0,0,782,284,2232,680
11.5,0,0,0,0,786,316,2048,904
12.0,0,0,0,0,960,384,2352,928
12.5,0,0,0,0,710,482,1856,1112
13.0,0,0,0,0,622,506,1908,1096
13.5,0,0,0,0,520,438,1576,992
14.0,0,0,0,0,496,422,1624,1232
14.5,0,0,0,0,438,482,1312,1112
15.0,0,0,0,0,472,568,1456,1496
15.5,0,0,0,0,444,686,1224,1592
16.0,0,0,0,0,500,792,1600,1640
16.5,0,0,0,0,528,1230,1360,1856
17.0,0,0,0,0,596,1322,1280,2176
17.5,0,0,0,0,644,2006,1040,2088
18.0,0,1,0,0,600,2542,988,2000
18.5,0,1,0,0,496,2620,892,2388
19.0,0,1,0,0,416,2824,660,2484
19.5,0,1,0,0,310,2300,540,2168
20.0,0,0,0,0,238,2286,444,2164
20.5,0,1,0,0,216,1852,344,2128
21.0,0,0,0,0,176,1736,376,2144
21.5,0,0,0,0,176,1598,288,2012
22.0,0,1,0,0,138,1434,320,2184
22.5,0,0,0,0,112,1204,248,2048
23.0,0,0,0,0,98,1172,192,1568
23.5,0,0,0,0,76,938,168,1720
24.0,0,0,0,0,12,944,32,1432
24.5,-,-,-,-,0,118,0,24
