Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,684,60,352,104
5.5,0,0,0,0,1004,184,412,268
6.0,0,0,0,0,1868,256,704,224
6.5,1,0,0,0,3232,420,992,256
7.0,1,0,0,0,5284,644,1412,320
7.5,1,0,0,0,7988,1052,1808,480
8.0,2,0,0,0,8036,1272,2328,524
8.5,1,0,0,0,5568,964,2264,612
9.0,1,0,0,0,4420,980,2616,648
9.5,1,0,0,0,2784,516,2484,588
10.0,1,0,1,0,2292,408,2456,476
10.5,0,0,1,0,1624,468,2188,620
11.0,0,0,1,0,1576,504,2320,576
11.5,0,0,0,0,1400,600,2224,756
12.0,0,0,0,0,1912,688,2040,772
12.5,0,0,0,0,1476,936,1944,1024
13.0,0,0,0,0,1164,1044,1956,1032
13.5,0,0,0,0,984,1188,1464,1192
14.0,0,0,0,0,1024,856,1500,1036
14.5,0,0,0,0,884,1004,1240,1152
15.0,0,0,0,0,876,1076,1304,1240
15.5,0,0,0,0,848,1348,1340,1448
16.0,0,0,0,0,1008,1476,1376,1516
16.5,0,0,0,0,1168,2120,1232,1728
17.0,0,1,0,0,1488,2352,1336,2084
17.5,0,1,0,0,1456,3488,1128,1700
18.0,0,1,0,0,1288,4584,976,2496
18.5,0,1,0,0,1028,4564,632,2000
19.0,0,1,0,0,820,4448,600,2192
19.5,0,1,0,0,668,4056,580,1888
20.0,0,1,0,0,576,3656,408,1680
20.5,0,1,0,0,496,3284,328,1968
21.0,0,0,0,0,448,2708,320,1940
21.5,0,0,0,0,360,2876,232,1928
22.0,0,1,0,0,236,2476,208,1608
22.5,0,0,0,0,216,2064,216,1776
23.0,0,0,0,0,196,1736,136,1384
23.5,0,0,0,0,120,1860,156,1436
24.0,0,0,0,0,60,1608,40,1136
24.5,-,-,-,-,0,12,0,4
