Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,212,44,284,124
5.5,0,0,0,0,380,88,376,248
6.0,1,0,0,0,664,128,600,240
6.5,1,0,0,0,1224,232,888,360
7.0,2,0,0,0,1816,448,1200,440
7.5,2,0,0,0,2922,766,1620,776
8.0,2,0,1,0,3378,1378,1856,1920
8.5,1,0,0,0,2246,1380,1932,1580
9.0,1,0,0,0,1894,570,2264,808
9.5,1,0,1,0,1238,552,2112,952
10.0,1,0,0,0,1090,388,2288,680
10.5,0,0,0,0,876,368,2112,788
11.0,0,0,1,0,848,362,2024,764
11.5,0,0,0,0,788,376,2016,864
12.0,0,0,0,0,1058,434,2372,992
12.5,0,0,0,0,840,572,2544,1136
13.0,0,0,0,0,698,540,2180,1312
13.5,0,0,0,0,568,556,1660,1320
14.0,0,0,0,0,528,468,1752,1144
14.5,0,0,0,0,588,546,1560,1216
15.0,0,0,0,0,722,544,1500,1304
15.5,0,0,0,0,596,628,1400,1280
16.0,0,0,0,0,742,630,1616,1656
16.5,0,0,0,0,722,902,1680,1784
17.0,0,0,0,0,882,1086,1552,1924
17.5,0,1,0,0,932,1442,1288,1868
18.0,0,1,0,0,900,1744,1192,1808
18.5,0,1,0,0,688,1916,920,1680
19.0,0,1,0,0,544,1862,756,1900
19.5,0,1,0,0,400,1598,664,1640
20.0,0,1,0,0,336,1650,624,1672
20.5,0,1,0,0,274,1362,336,1640
21.0,0,1,0,0,226,1136,400,1640
21.5,0,0,0,0,204,1064,352,1728
22.0,0,1,0,0,176,1072,248,1664
22.5,0,0,0,0,116,934,204,1672
23.0,0,0,0,0,108,850,280,1336
23.5,0,0,0,0,98,786,216,1336
24.0,0,0,0,0,24,598,40,856
24.5,-,-,-,-,0,0,0,0
