Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,98,34,124,68
5.5,1,0,0,0,168,136,240,156
6.0,1,0,0,0,332,224,292,216
6.5,1,0,0,0,538,502,496,368
7.0,2,0,0,0,882,980,608,496
7.5,2,0,0,0,1416,2074,760,1004
8.0,2,0,1,0,1726,3942,1040,1628
8.5,1,0,0,0,1434,4520,1016,1872
9.0,2,0,0,0,1278,2576,1172,2416
9.5,1,0,0,0,850,2472,1204,2648
10.0,1,0,0,0,872,1356,1368,2568
10.5,0,0,0,0,696,1360,1352,3124
11.0,0,0,0,0,766,1078,1552,2760
11.5,0,0,0,0,812,1070,1696,2480
12.0,0,0,0,0,1158,1076,1864,2444
12.5,0,0,0,0,1116,1444,2008,2664
13.0,0,0,0,0,1076,1102,2044,2496
13.5,0,0,0,0,936,1188,2100,2504
14.0,0,0,0,0,1074,850,2320,2092
14.5,0,0,0,0,1048,1038,2432,2384
15.0,0,0,0,0,1254,922,2688,2116
15.5,0,0,0,0,1290,958,2896,1848
16.0,0,1,0,0,1606,920,2708,1744
16.5,0,1,0,0,1572,1024,3016,1868
17.0,0,1,0,0,2208,1104,2872,1800
17.5,0,2,0,1,2474,1282,2480,1568
18.0,0,2,0,0,2688,1508,2380,1444
18.5,0,2,0,0,1918,1516,1724,1356
19.0,0,1,0,0,1832,1208,1600,1164
19.5,0,1,0,0,1452,1042,1392,920
20.0,0,1,0,0,1342,776,1576,952
20.5,0,1,0,0,896,660,1248,744
21.0,0,1,0,0,824,654,972,820
21.5,0,1,0,0,628,590,728,888
22.0,0,1,0,0,480,478,636,656
22.5,0,0,0,0,300,454,408,648
23.0,0,0,0,0,252,334,348,480
23.5,0,0,0,0,164,266,304,396
24.0,0,0,0,0,34,168,56,192
24.5,-,0,-,0,4,48,8,52
