Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,82,60,120,80
5.5,1,0,0,0,130,140,152,196
6.0,1,0,0,0,268,286,248,256
6.5,1,0,0,0,492,556,332,344
7.0,2,0,0,0,850,1036,580,560
7.5,2,0,0,0,1364,1948,772,776
8.0,2,0,1,0,1580,3708,928,1064
8.5,1,0,0,0,1266,3118,984,1096
9.0,1,0,1,0,1088,2270,1204,928
9.5,1,0,0,0,750,1620,1240,984
10.0,1,0,0,0,728,1040,1332,800
10.5,0,0,0,0,918,854,1412,716
11.0,0,0,0,0,786,560,1568,688
11.5,0,0,0,0,928,612,1408,788
12.0,0,0,0,0,884,666,1544,844
12.5,0,0,0,0,1080,968,1488,1136
13.0,0,0,0,0,724,678,1400,1040
13.5,0,0,0,0,568,628,1172,956
14.0,0,0,0,0,604,486,1072,800
14.5,0,0,0,0,652,540,1144,776
15.0,0,0,0,0,838,474,1168,872
15.5,0,0,0,0,652,482,984,864
16.0,0,1,0,0,994,486,1248,768
16.5,0,1,0,0,1136,558,1152,960
17.0,0,1,0,0,2074,540,1192,968
17.5,0,2,0,1,2626,710,952,1104
18.0,0,2,0,0,2232,834,960,880
18.5,0,2,0,0,1738,882,784,812
19.0,0,1,0,0,1356,868,580,848
19.5,0,1,0,0,958,812,508,916
20.0,0,1,0,0,790,732,316,784
20.5,0,1,0,0,684,626,328,824
21.0,0,1,0,0,588,608,360,824
21.5,0,1,0,0,414,622,184,828
22.0,0,1,0,0,354,510,264,664
22.5,0,1,0,0,282,454,172,676
23.0,0,0,0,0,256,388,168,584
23.5,0,0,0,0,178,332,136,400
24.0,0,0,0,0,48,184,32,320
24.5,-,-,-,-,2,78,12,56
