Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,140,100,256,152
5.5,1,0,0,0,180,216,212,264
6.0,1,0,0,0,402,438,408,328
6.5,1,0,0,0,710,850,496,532
7.0,2,0,0,0,1262,1496,880,776
7.5,2,0,0,0,2110,2512,1048,1084
8.0,2,0,1,0,2734,4006,1432,1568
8.5,1,0,0,0,2234,4436,1424,1456
9.0,1,0,1,0,1796,2180,1888,1448
9.5,1,0,0,0,1154,1886,1976,1496
10.0,1,0,1,0,950,1092,2128,1224
10.5,1,0,0,0,892,852,1872,1408
11.0,0,0,0,0,798,590,2024,1456
11.5,0,0,1,0,778,608,2024,1408
12.0,1,0,0,0,1022,654,2048,1424
12.5,1,0,0,0,950,884,2164,1692
13.0,0,0,0,0,832,818,2092,1592
13.5,0,0,0,0,660,736,1888,1736
14.0,0,0,0,0,768,590,1872,1296
14.5,0,0,0,0,740,674,1880,1464
15.0,0,0,0,0,890,622,1928,1328
15.5,0,0,0,0,816,766,1792,1628
16.0,0,1,0,0,1256,686,2088,1684
16.5,0,1,0,0,1384,892,2016,1840
17.0,0,1,0,0,2322,860,2336,1916
17.5,0,2,0,1,2940,1290,1880,1728
18.0,0,2,0,0,3124,1478,1848,1844
18.5,0,2,0,0,2410,1568,1432,1632
19.0,0,1,0,0,2038,1372,1264,1548
19.5,0,1,0,0,1478,1334,1048,1360
20.0,0,1,0,0,1276,1094,1112,1472
20.5,0,1,0,0,916,1050,840,1448
21.0,0,1,0,0,848,1100,920,1512
21.5,0,1,0,0,656,962,696,1528
22.0,0,1,0,0,622,868,736,1344
22.5,0,1,0,0,498,768,592,1256
23.0,0,0,0,0,406,604,528,1000
23.5,0,0,0,0,284,610,320,864
24.0,0,0,0,0,68,418,88,664
24.5,-,-,-,-,2,24,0,0
