Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,56,92,136,64
5.5,0,0,0,0,88,434,108,168
6.0,0,0,0,0,162,1042,168,296
6.5,1,0,0,0,290,1974,272,484
7.0,1,0,0,0,496,2728,416,696
7.5,1,0,0,0,798,4048,608,1032
8.0,1,0,0,0,1128,5726,712,1504
8.5,1,0,0,0,1076,8302,776,1804
9.0,1,0,0,0,1012,5742,944,1664
9.5,1,0,0,0,776,3716,1000,1696
10.0,0,0,0,0,766,2268,1056,1316
10.5,0,0,0,0,832,1600,1264,1292
11.0,0,0,0,0,790,998,1144,1040
11.5,0,0,0,0,884,1020,1072,1180
12.0,0,0,0,0,1394,1268,1472,1480
12.5,0,0,0,0,1660,1956,1592,1768
13.0,0,0,0,0,1208,1686,1416,1464
13.5,0,0,0,0,980,1176,1204,1240
14.0,0,0,0,0,1182,914,1248,996
14.5,0,0,0,0,1296,1068,1432,1272
15.0,0,0,0,0,1532,806,1688,1104
15.5,0,0,0,0,1416,932,1604,1248
16.0,0,1,0,0,2532,834,1720,1296
16.5,0,1,0,0,2908,844,1924,1256
17.0,0,1,0,0,3828,794,1900,1136
17.5,0,1,0,0,4508,1026,1744,1032
18.0,0,1,0,0,4616,924,1520,832
18.5,0,1,0,0,3984,946,1256,764
19.0,0,1,0,0,3440,682,1064,624
19.5,0,1,0,0,2712,574,1256,652
20.0,0,1,0,0,2566,428,1136,552
20.5,0,1,0,0,2018,420,1120,544
21.0,0,1,0,0,2014,420,1036,632
21.5,0,0,0,0,1614,384,808,584
22.0,0,1,0,0,1400,340,848,504
22.5,0,0,0,0,1124,268,656,432
23.0,0,0,0,0,908,208,444,272
23.5,0,0,0,0,706,168,336,264
24.0,0,0,0,0,160,154,112,248
24.5,-,-,-,-,4,22,8,16
