Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,21,50,64,40
5.5,0,0,0,0,20,170,60,128
6.0,0,0,0,0,26,287,72,212
6.5,1,0,0,0,54,552,112,416
7.0,1,0,0,0,92,974,200,572
7.5,1,0,0,0,145,1757,232,808
8.0,1,0,0,0,215,3114,384,1152
8.5,1,0,0,0,196,4784,392,1952
9.0,1,0,0,0,251,3262,404,1800
9.5,1,0,0,0,243,2202,496,2176
10.0,1,0,0,0,300,860,592,1008
10.5,0,0,0,0,298,861,692,1640
11.0,0,0,0,0,345,449,828,1160
11.5,0,0,0,0,384,468,936,1048
12.0,0,0,0,0,522,466,1184,1032
12.5,0,0,0,0,462,706,1104,1336
13.0,0,0,0,0,458,568,1376,848
13.5,0,0,0,0,389,525,860,1080
14.0,0,0,0,0,467,359,1080,688
14.5,0,0,0,0,479,449,1072,648
15.0,0,0,0,0,656,359,912,636
15.5,0,0,0,0,635,423,988,664
16.0,0,0,0,0,1030,328,1136,544
16.5,0,1,0,0,950,377,1048,640
17.0,0,1,0,0,1705,313,1352,524
17.5,0,1,0,0,2376,352,1216,604
18.0,0,1,0,0,2567,353,1188,496
18.5,0,1,0,0,2009,339,848,412
19.0,0,1,0,0,1711,177,936,312
19.5,0,1,0,0,1257,132,624,280
20.0,0,1,0,0,1079,105,664,320
20.5,0,1,0,0,855,111,520,336
21.0,0,1,0,0,736,97,576,344
21.5,0,1,0,0,542,110,464,264
22.0,0,0,0,0,546,72,376,272
22.5,0,0,0,0,330,60,224,228
23.0,0,0,0,0,321,38,224,184
23.5,0,0,0,0,229,33,136,124
24.0,0,0,0,0,44,26,32,116
24.5,-,-,-,-,0,0,0,0
